player_id,player_name,player_lv,is_player,hero_id,hero_pos,hero_level,hero_aggr,hero_star,hairCutId,hairColorId,faceId,clothesId,comat,formation,formation_lv,touxiang,honor,1
1,皇帝克拉,30,1,200,2,25,21,2,0,1,1,0,12505,1003,2,2013,473,2
1,,30,0,5,4,25,21,1,,,,,,,,,,3
1,,30,0,12,5,25,21,1,,,,,,,,,,4
1,,30,0,36,6,25,21,1,,,,,,,,,,5
1,,30,0,10,8,25,21,1,,,,,,,,,,6
2,韩玛德琳法,30,1,200,2,25,21,2,1,5,2,1,12308,1003,1,33,466,7
2,,30,0,4,4,25,21,1,,,,,,,,,,8
2,,30,0,11,5,25,21,1,,,,,,,,,,9
2,,30,0,35,6,25,21,1,,,,,,,,,,10
2,,30,0,9,8,25,21,1,,,,,,,,,,11
3,阙小渔规范,30,1,200,2,25,21,2,1,6,1,2,13179,1003,2,2013,472,12
3,,30,0,3,4,25,21,1,,,,,,,,,,13
3,,30,0,10,5,25,21,1,,,,,,,,,,14
3,,30,0,34,6,25,21,1,,,,,,,,,,15
3,,30,0,8,8,25,21,1,,,,,,,,,,16
4,吃货殿下发呆,30,1,200,1,25,21,2,0,2,0,1,12943,1004,1,101,465,17
4,,30,0,5,3,25,21,1,,,,,,,,,,18
4,,30,0,12,4,25,21,1,,,,,,,,,,19
4,,30,0,36,6,25,21,1,,,,,,,,,,20
4,,30,0,10,8,25,21,1,,,,,,,,,,21
5,蒲布莱兹发,30,1,200,1,25,21,2,2,9,2,0,13106,1004,3,2013,471,22
5,,30,0,4,3,25,21,1,,,,,,,,,,23
5,,30,0,11,4,25,21,1,,,,,,,,,,24
5,,30,0,35,6,25,21,1,,,,,,,,,,25
5,,30,0,9,8,25,21,1,,,,,,,,,,26
6,苏晓莎丶u,30,1,200,2,25,21,2,0,1,1,0,12597,1005,2,122,464,27
6,,30,0,3,4,25,21,1,,,,,,,,,,28
6,,30,0,10,6,25,21,1,,,,,,,,,,29
6,,30,0,34,7,25,21,1,,,,,,,,,,30
6,,30,0,8,8,25,21,1,,,,,,,,,,31
7,芙兰朵撒旦,30,1,200,2,25,21,2,1,5,2,1,12341,1005,1,141,470,32
7,,30,0,5,4,25,21,1,,,,,,,,,,33
7,,30,0,12,6,25,21,1,,,,,,,,,,34
7,,30,0,36,7,25,21,1,,,,,,,,,,35
7,,30,0,10,8,25,21,1,,,,,,,,,,36
8,艾尔玛艾尔弗是,30,1,200,2,25,21,2,1,6,1,2,11748,1009,2,2013,463,37
8,,30,0,4,4,25,21,1,,,,,,,,,,38
8,,30,0,11,5,25,21,1,,,,,,,,,,39
8,,30,0,35,7,25,21,1,,,,,,,,,,40
8,,30,0,9,9,25,21,1,,,,,,,,,,41
9,九游丶飞结婚,30,1,200,2,25,21,2,0,2,0,1,12896,1009,1,153,469,42
9,,30,0,3,4,25,21,1,,,,,,,,,,43
9,,30,0,10,5,25,21,1,,,,,,,,,,44
9,,30,0,34,7,25,21,1,,,,,,,,,,45
9,,30,0,8,9,25,21,1,,,,,,,,,,46
10,哟哟哟结婚,30,1,200,2,25,21,2,2,9,2,0,11148,1003,3,202,462,47
10,,30,0,5,4,25,21,1,,,,,,,,,,48
10,,30,0,12,5,25,21,1,,,,,,,,,,49
10,,30,0,36,6,25,21,1,,,,,,,,,,50
10,,30,0,10,8,25,21,1,,,,,,,,,,51
11,单色凌发呆,30,1,200,2,25,21,2,0,1,1,0,12551,1003,2,2013,468,52
11,,30,0,4,4,25,21,1,,,,,,,,,,53
11,,30,0,11,5,25,21,1,,,,,,,,,,54
11,,30,0,35,6,25,21,1,,,,,,,,,,55
11,,30,0,9,8,25,21,1,,,,,,,,,,56
12,多尼卡迪,30,1,200,2,25,21,2,1,5,2,1,12786,1003,1,33,461,57
12,,30,0,3,4,25,21,1,,,,,,,,,,58
12,,30,0,10,5,25,21,1,,,,,,,,,,59
12,,30,0,34,6,25,21,1,,,,,,,,,,60
12,,30,0,8,8,25,21,1,,,,,,,,,,61
13,天使林赛撒旦,30,1,200,1,25,21,2,1,6,1,2,11758,1004,2,2013,467,62
13,,30,0,5,3,25,21,1,,,,,,,,,,63
13,,30,0,12,4,25,21,1,,,,,,,,,,64
13,,30,0,36,6,25,21,1,,,,,,,,,,65
13,,30,0,10,8,25,21,1,,,,,,,,,,66
14,海伦查理分隔带,30,1,200,1,25,21,2,0,2,0,1,12377,1004,1,101,460,67
14,,30,0,4,3,25,21,1,,,,,,,,,,68
14,,30,0,11,4,25,21,1,,,,,,,,,,69
14,,30,0,35,6,25,21,1,,,,,,,,,,70
14,,30,0,9,8,25,21,1,,,,,,,,,,71
15,幽狱类规范,30,1,200,2,25,21,2,2,9,2,0,12440,1005,3,2013,466,72
15,,30,0,3,4,25,21,1,,,,,,,,,,73
15,,30,0,10,6,25,21,1,,,,,,,,,,74
15,,30,0,34,7,25,21,1,,,,,,,,,,75
15,,30,0,8,8,25,21,1,,,,,,,,,,76
16,桐谷和人gf,30,1,200,2,25,21,2,0,1,1,0,12838,1005,2,122,459,77
16,,30,0,5,4,25,21,1,,,,,,,,,,78
16,,30,0,12,6,25,21,1,,,,,,,,,,79
16,,30,0,36,7,25,21,1,,,,,,,,,,80
16,,30,0,10,8,25,21,1,,,,,,,,,,81
17,麦格弗琳就,30,1,200,2,25,21,2,1,5,2,1,12836,1009,1,141,465,82
17,,30,0,4,4,25,21,1,,,,,,,,,,83
17,,30,0,11,5,25,21,1,,,,,,,,,,84
17,,30,0,35,7,25,21,1,,,,,,,,,,85
17,,30,0,9,9,25,21,1,,,,,,,,,,86
