id,beginInterval,endInterval,dailybonus
1,10001,-1,14:0:50:0;9:0:45:0;8:0:1500:0
2,7001,10000,14:0:80:0;9:0:45:0;8:0:1500:0
3,5001,7000,14:0:100:0;9:0:45:0;8:0:1500:0
4,4001,5000,14:0:120:0;9:0:50:0;8:0:1500:0
5,3001,4000,14:0:160:0;9:0:50:0;8:0:1500:0
6,2001,3000,14:0:200:0;9:0:50:0;8:0:1500:0
7,1001,2000,14:0:240:0;9:0:55:0;8:0:1500:0
8,701,1000,14:0:280:0;9:0:55:0;8:0:1500:0
9,501,700,14:0:320:0;9:0:55:0;8:0:1500:0
10,401,500,14:0:360:0;9:0:60:0;8:0:1500:0
11,301,400,14:0:400:0;9:0:70:0;8:0:1500:0
12,201,300,14:0:440:0;9:0:80:0;8:0:1500:0
13,101,200,14:0:480:0;9:0:90:0;8:0:1500:0
14,71,100,14:0:500:0;9:0:100:0;8:0:1500:0
15,51,70,14:0:550:0;9:0:110:0;8:0:1500:0
16,41,50,14:0:600:0;9:0:130:0;8:0:1500:0
17,31,40,14:0:620:0;9:0:150:0;8:0:1500:0
18,21,30,14:0:660:0;9:0:200:0;8:0:1500:0
19,11,20,14:0:700:0;9:0:250:0;8:0:1500:0
20,10,10,14:0:740:0;9:0:300:0;8:0:1500:0
21,9,9,14:0:780:0;9:0:310:0;8:0:1500:0
22,8,8,14:0:820:0;9:0:320:0;8:0:1500:0
23,7,7,14:0:860:0;9:0:330:0;8:0:1500:0
24,6,6,14:0:900:0;9:0:340:0;8:0:1500:0
25,5,5,14:0:920:0;9:0:350:0;8:0:1500:0
26,4,4,14:0:940:0;9:0:400:0;8:0:1500:0
27,3,3,14:0:960:0;9:0:450:0;8:0:1500:0
28,2,2,14:0:980:0;9:0:500:0;8:0:1500:0
29,1,1,14:0:1000:0;9:0:550:0;8:0:1500:0
