id,item_type,black_tab,black_tab_icon,refresh_type,item_type_name,limit_type,limit_num,limit_lv,random_rule,on_sell,sys_refresh,manual_refresh,refresh_money
101,1,ui.black_market_view.toggle.1,icon_page_gshop,4,综合商店英雄包1,1,1,0,101,1,0;8;16,1,20;40;40;80;80;160;160;320
102,1,,,4,综合商店英雄包2,1,1,0,102,1,0;8;16,1,20;40;40;80;80;160;160;320
103,1,,,4,综合商店装备包1,1,1,0,103,1,0;8;16,1,20;40;40;80;80;160;160;320
104,1,,,4,综合商店装备包2,1,1,0,104,1,0;8;16,1,20;40;40;80;80;160;160;320
105,1,,,4,杂物包1,1,1,0,105,1,0;8;16,1,20;40;40;80;80;160;160;320
106,1,,,4,杂物包2,1,1,0,106,1,0;8;16,1,20;40;40;80;80;160;160;320
107,1,,,4,杂物包3,1,1,0,107,1,0;8;16,1,20;40;40;80;80;160;160;320
108,1,,,4,杂物包4,1,1,0,108,1,0;8;16,1,20;40;40;80;80;160;160;320
201,2,ui.black_market_view.toggle.2,icon_page_jjc,4,竞技场商店橙色英雄,1,1,0,201,1,0;8;16,1,20;40;40;80;80;160;160;320
202,2,,,4,竞技场商店英雄包1,1,1,0,202,1,0;8;16,1,20;40;40;80;80;160;160;320
203,2,,,4,竞技场商店英雄包2,1,1,0,203,1,0;8;16,1,20;40;40;80;80;160;160;320
204,2,,,4,竞技场升星包1,1,1,0,204,1,0;8;16,1,20;40;40;80;80;160;160;320
205,2,,,4,竞技场升星包2,1,1,0,205,1,0;8;16,1,20;40;40;80;80;160;160;320
206,2,,,4,竞技场宝石包1,1,1,0,206,1,0;8;16,1,20;40;40;80;80;160;160;320
207,2,,,4,竞技场宝石包2,1,1,0,207,1,0;8;16,1,20;40;40;80;80;160;160;320
208,2,,,4,竞技场宝石包3,1,1,0,208,1,0;8;16,1,20;40;40;80;80;160;160;320
301,3,ui.black_market_view.toggle.3,icon_page_zhanli,4,远征商店橙色英雄,1,1,0,301,1,0;8;16,1,20;40;40;80;80;160;160;320
302,3,,,4,远征商店英雄包1,1,1,0,302,1,0;8;16,1,20;40;40;80;80;160;160;320
303,3,,,4,远征商店英雄包2,1,1,0,303,1,0;8;16,1,20;40;40;80;80;160;160;320
304,3,,,4,远征升星包1,1,1,0,304,1,0;8;16,1,20;40;40;80;80;160;160;320
305,3,,,4,远征升星包2,1,1,0,305,1,0;8;16,1,20;40;40;80;80;160;160;320
306,3,,,4,远征幻之钢包1,1,1,0,306,1,0;8;16,1,20;40;40;80;80;160;160;320
307,3,,,4,远征幻之钢包2,1,1,0,307,1,0;8;16,1,20;40;40;80;80;160;160;320
308,3,,,4,远征幻之钢包3,1,1,0,308,1,0;8;16,1,20;40;40;80;80;160;160;320
401,4,ui.black_market_view.toggle.4,icon_page_shijieboss,4,世界BOSS橙色英雄,1,1,0,401,1,0;8;16,1,20;40;40;80;80;160;160;320
402,4,,,4,世界BOSS英雄包1,1,1,0,402,1,0;8;16,1,20;40;40;80;80;160;160;320
403,4,,,4,世界BOSS英雄包2,1,1,0,403,1,0;8;16,1,20;40;40;80;80;160;160;320
404,4,,,4,远征升星包1,1,1,0,404,1,0;8;16,1,20;40;40;80;80;160;160;320
405,4,,,4,远征升星包2,1,1,0,405,1,0;8;16,1,20;40;40;80;80;160;160;320
406,4,,,4,世界BOSS幻之钢包1,1,1,0,406,1,0;8;16,1,20;40;40;80;80;160;160;320
407,4,,,4,世界BOSS幻之钢包2,1,1,0,407,1,0;8;16,1,20;40;40;80;80;160;160;320
408,4,,,4,世界BOSS幻之钢包3,1,1,0,408,1,0;8;16,1,20;40;40;80;80;160;160;320
601,6,ui.black_market_view.toggle.6,icon_page_other,4,积分商店橙色英雄,1,1,0,601,1,0;8;16,1,20;40;40;80;80;160;160;320
602,6,,,4,积分商店英雄包1,1,1,0,602,1,0;8;16,1,20;40;40;80;80;160;160;320
603,6,,,4,积分商店英雄包2,1,1,0,603,1,0;8;16,1,20;40;40;80;80;160;160;320
604,6,,,4,积分商店经验药水1,1,1,0,604,1,0;8;16,1,20;40;40;80;80;160;160;320
605,6,,,4,积分商店经验药水2,1,1,0,605,1,0;8;16,1,20;40;40;80;80;160;160;320
606,6,,,4,积分商店升星宝石1,1,1,0,606,1,0;8;16,1,20;40;40;80;80;160;160;320
607,6,,,4,积分商店升星宝石2,1,1,0,607,1,0;8;16,1,20;40;40;80;80;160;160;320
608,6,,,4,积分商店升星宝石3,1,1,0,608,1,0;8;16,1,20;40;40;80;80;160;160;320
701,7,ui.black_market_view.toggle.7,icon_page_hunqi,4,器魂商店碎片包1,1,1,0,701,1,0;8;16,1,20;40;40;80;80;160;160;320
702,7,,,4,器魂商店碎片包2,1,1,0,702,1,0;8;16,1,20;40;40;80;80;160;160;320
703,7,,,4,器魂商店碎片包3,1,1,0,703,1,0;8;16,1,20;40;40;80;80;160;160;320
704,7,,,4,器魂商店碎片包4,1,1,0,704,1,0;8;16,1,20;40;40;80;80;160;160;320
705,7,,,4,器魂商店装备包5,1,1,0,705,1,0;8;16,1,20;40;40;80;80;160;160;320
706,7,,,4,器魂商店装备包6,1,1,0,706,1,0;8;16,1,20;40;40;80;80;160;160;320
707,7,,,4,器魂商店装备包7,1,1,0,707,1,0;8;16,1,20;40;40;80;80;160;160;320
708,7,,,4,器魂商店装备包8,1,1,0,708,1,0;8;16,1,20;40;40;80;80;160;160;320
501,5,ui.black_market_view.toggle.5,icon_page_jifensai,3,活动黑市,1,-1,0,501,1,0;8;16,0,20;40;40;80;80;160;160;320
502,5,,,3,活动黑市,1,-1,0,502,1,0;8;16,0,20;40;40;80;80;160;160;320
503,5,,,3,世界BOSS英雄包2,1,1,0,403,0,0;8;16,0,20;40;40;80;80;160;160;320
504,5,,,3,远征升星包,1,1,0,404,0,0;8;16,0,20;40;40;80;80;160;160;320
505,5,,,3,世界BOSS幻之钢包1,1,1,0,405,0,0;8;16,0,20;40;40;80;80;160;160;320
506,5,,,3,世界BOSS幻之钢包2,1,1,0,406,0,0;8;16,0,20;40;40;80;80;160;160;320
507,5,,,3,紫升橙,1,1,0,9999,0,0;8;16,0,0
508,5,,,3,橙升红,1,1,0,602,0,0;8;16,0,0
509,5,,,3,世界boss英雄1,1,1,0,602,0,0;8;16,0,0
510,5,,,3,世界boss英雄2,1,1,0,602,0,0;8;16,0,0
