id,layer,quality,lock_lev,lock_release,cost_1,cost_2
1,1,2,1,30,0,0
2,2,2,30,40,8:0:8000:0,4:10701:10:0
3,3,2,40,50,8:0:25000:0,4:10702:10:0
4,4,2,50,60,8:0:85000:0,4:10703:10:0
5,1,3,1,30,0,0
6,2,3,30,40,8:0:12000:0,4:10701:15:0
7,3,3,40,50,8:0:36000:0,4:10702:15:0
8,4,3,50,60,8:0:120000:0,4:10703:15:0
9,1,4,1,30,0,0
10,2,4,30,40,8:0:20000:0,4:10701:25:0
11,3,4,40,50,8:0:60000:0,4:10702:25:0
12,4,4,50,60,8:0:200000:0,4:10703:25:0
13,1,5,1,30,0,0
14,2,5,30,40,8:0:32000:0,4:10701:40:0
15,3,5,40,50,8:0:100000:0,4:10702:40:0
16,4,5,50,60,8:0:350000:0,4:10703:40:0
