id,item,des,jump_type1,jump_page1,jump_type2,jump_page2,jump_type3,jump_page3,jump_type4,jump_page4,des1,desc2,des3
1,4:90005:0:0,drop_message_1,,,,,,,,,英雄经验,副本掉落,
2,4:90007:0:0,drop_message_2,,,,,,,,,经验值,副本掉落,
3,4:90008:0:0,drop_message_3,,,,,,,,,金币,矿战、副本都可获得，也可以通过点金手获得,
4,4:90009:0:0,drop_message_4,,,,,,,,,钻石,可通过充值、竞技场、活动获得,
5,4:90010:0:0,drop_message_5,,,,,,,,,水晶,充值获得,
6,4:90011:0:0,drop_message_6,,,,,,,,,行动力,自动回复或钻石购买,
7,4:90014:0:0,drop_message_7,,,,,,,,,荣誉,竞技场战斗获得,
8,4:90015:0:0,drop_message_8,,,,,,,,,器魂,可通过装备分解获得,
9,4:90016:0:0,drop_message_9,,,,,,,,,远征币,远征获得,
10,4:90017:0:0,drop_message_10,,,,,,,,,世界boss资源,参与世界Boss战获得,
11,4:90013:0:0,drop_message_11,,,,,,,,,挑战券,每日0点恢复,
12,4:90012:0:0,drop_message_12,,,,,,,,,世界树,,
13,4:90018:0:0,drop_message_13,,,,,,,,,阵型点数,时间恢复，也可通过钻石购买,
14,4:90019:0:0,drop_message_14,,,,,,,,,帮派贡献,公会捐献和公会签到获得,
15,4:90024:0:0,drop_message_15,,,,,,,,,PVP积分,参加PVP积分赛获得,
16,4:10138:0:0,drop_message_16,,,,,,,,,"次元水晶,boss列表道具",所有副本概率掉落,
17,4:10500:0:0,drop_message_17,,,,,,,,,扫荡卷,VIP每日礼包或钻石购买,
18,4:10600:0:0,drop_message_18,8,1,,,,,,,小经验药水,综合黑市，每日副本获得,
19,4:10601:0:0,drop_message_19,8,1,,,,,,,中经验药水,综合黑市，每日副本获得,
20,4:10602:0:0,drop_message_20,8,1,,,,,,,大经验药水,综合黑市，每日副本获得,
21,4:10350:0:0,drop_message_21,8,4,,,,,,,幻之钢,世界BOSS黑市商店，每日副本获得,
22,4:20001:0:0,drop_message_22,8,1,8,2,11,0,,,生命宝石I,竞技场黑市，综合黑市，公会商店获得,
23,4:20002:0:0,drop_message_23,8,1,8,2,11,0,,,生命宝石II,竞技场黑市，综合黑市，公会商店获得,
24,4:20003:0:0,drop_message_24,8,1,8,2,11,0,,,生命宝石III,竞技场黑市，综合黑市，公会商店获得,
25,4:20004:0:0,drop_message_25,8,1,8,2,11,0,,,生命宝石IV,竞技场黑市，综合黑市，公会商店获得,
26,4:20005:0:0,drop_message_26,8,1,8,2,11,0,,,生命宝石V,竞技场黑市，综合黑市，公会商店获得,
27,4:20006:0:0,drop_message_27,8,1,8,2,11,0,,,生命宝石VI,竞技场黑市，综合黑市，公会商店获得,
28,4:20007:0:0,drop_message_28,8,1,8,2,11,0,,,生命宝石VII,竞技场黑市，综合黑市，公会商店获得,
29,4:20008:0:0,drop_message_29,8,1,8,2,11,0,,,生命宝石VIII,竞技场黑市，综合黑市，公会商店获得,
30,4:20009:0:0,drop_message_30,8,1,8,2,11,0,,,生命宝石IX,竞技场黑市，综合黑市，公会商店获得,
31,4:20010:0:0,drop_message_31,8,1,8,2,11,0,,,生命宝石X,竞技场黑市，综合黑市，公会商店获得,
32,4:20101:0:0,drop_message_32,8,1,8,2,11,0,,,物攻宝石I,竞技场黑市，综合黑市，公会商店获得,
33,4:20102:0:0,drop_message_33,8,1,8,2,11,0,,,物攻宝石II,竞技场黑市，综合黑市，公会商店获得,
34,4:20103:0:0,drop_message_34,8,1,8,2,11,0,,,物攻宝石III,竞技场黑市，综合黑市，公会商店获得,
35,4:20104:0:0,drop_message_35,8,1,8,2,11,0,,,物攻宝石IV,竞技场黑市，综合黑市，公会商店获得,
36,4:20105:0:0,drop_message_36,8,1,8,2,11,0,,,物攻宝石V,竞技场黑市，综合黑市，公会商店获得,
37,4:20106:0:0,drop_message_37,8,1,8,2,11,0,,,物攻宝石VI,竞技场黑市，综合黑市，公会商店获得,
38,4:20107:0:0,drop_message_38,8,1,8,2,11,0,,,物攻宝石VII,竞技场黑市，综合黑市，公会商店获得,
39,4:20108:0:0,drop_message_39,8,1,8,2,11,0,,,物攻宝石VIII,竞技场黑市，综合黑市，公会商店获得,
40,4:20109:0:0,drop_message_40,8,1,8,2,11,0,,,物攻宝石IX,竞技场黑市，综合黑市，公会商店获得,
41,4:20110:0:0,drop_message_41,8,1,8,2,11,0,,,物攻宝石X,竞技场黑市，综合黑市，公会商店获得,
42,4:20201:0:0,drop_message_42,8,1,8,2,11,0,,,魔攻宝石I,竞技场黑市，综合黑市，公会商店获得,
43,4:20202:0:0,drop_message_43,8,1,8,2,11,0,,,魔攻宝石II,竞技场黑市，综合黑市，公会商店获得,
44,4:20203:0:0,drop_message_44,8,1,8,2,11,0,,,魔攻宝石III,竞技场黑市，综合黑市，公会商店获得,
45,4:20204:0:0,drop_message_45,8,1,8,2,11,0,,,魔攻宝石IV,竞技场黑市，综合黑市，公会商店获得,
46,4:20205:0:0,drop_message_46,8,1,8,2,11,0,,,魔攻宝石V,竞技场黑市，综合黑市，公会商店获得,
47,4:20206:0:0,drop_message_47,8,1,8,2,11,0,,,魔攻宝石VI,竞技场黑市，综合黑市，公会商店获得,
48,4:20207:0:0,drop_message_48,8,1,8,2,11,0,,,魔攻宝石VII,竞技场黑市，综合黑市，公会商店获得,
49,4:20208:0:0,drop_message_49,8,1,8,2,11,0,,,魔攻宝石VIII,竞技场黑市，综合黑市，公会商店获得,
50,4:20209:0:0,drop_message_50,8,1,8,2,11,0,,,魔攻宝石IX,竞技场黑市，综合黑市，公会商店获得,
51,4:20210:0:0,drop_message_51,8,1,8,2,11,0,,,魔攻宝石X,竞技场黑市，综合黑市，公会商店获得,
52,4:20301:0:0,drop_message_52,8,1,8,2,11,0,,,防御宝石I,竞技场黑市，综合黑市，公会商店获得,
53,4:20302:0:0,drop_message_53,8,1,8,2,11,0,,,防御宝石II,竞技场黑市，综合黑市，公会商店获得,
54,4:20303:0:0,drop_message_54,8,1,8,2,11,0,,,防御宝石III,竞技场黑市，综合黑市，公会商店获得,
55,4:20304:0:0,drop_message_55,8,1,8,2,11,0,,,防御宝石IV,竞技场黑市，综合黑市，公会商店获得,
56,4:20305:0:0,drop_message_56,8,1,8,2,11,0,,,防御宝石V,竞技场黑市，综合黑市，公会商店获得,
57,4:20306:0:0,drop_message_57,8,1,8,2,11,0,,,防御宝石VI,竞技场黑市，综合黑市，公会商店获得,
58,4:20307:0:0,drop_message_58,8,1,8,2,11,0,,,防御宝石VII,竞技场黑市，综合黑市，公会商店获得,
59,4:20308:0:0,drop_message_59,8,1,8,2,11,0,,,防御宝石VIII,竞技场黑市，综合黑市，公会商店获得,
60,4:20309:0:0,drop_message_60,8,1,8,2,11,0,,,防御宝石IX,竞技场黑市，综合黑市，公会商店获得,
61,4:20310:0:0,drop_message_61,8,1,8,2,11,0,,,防御宝石X,竞技场黑市，综合黑市，公会商店获得,
62,4:20401:0:0,drop_message_62,8,1,8,2,11,0,,,命中宝石I,竞技场黑市，综合黑市，公会商店获得,
63,4:20402:0:0,drop_message_63,8,1,8,2,11,0,,,命中宝石II,竞技场黑市，综合黑市，公会商店获得,
64,4:20403:0:0,drop_message_64,8,1,8,2,11,0,,,命中宝石III,竞技场黑市，综合黑市，公会商店获得,
65,4:20404:0:0,drop_message_65,8,1,8,2,11,0,,,命中宝石IV,竞技场黑市，综合黑市，公会商店获得,
66,4:20405:0:0,drop_message_66,8,1,8,2,11,0,,,命中宝石V,竞技场黑市，综合黑市，公会商店获得,
67,4:20406:0:0,drop_message_67,8,1,8,2,11,0,,,命中宝石VI,竞技场黑市，综合黑市，公会商店获得,
