id,name,description,dungeon_map,unlock_lv,is_boss,unlock_dungeon_id_pre1,unlock_dungeon_id_pre2,unlock_dungeon_id_next1,unlock_dungeon_id_next2,unlock_dungeon_id_next3,teams,each_loot_id,special_loot_id,show_first_loot_id,first_loot_id,each_loot_present,hero_present,rate_method,action_need,power_fix,combat,comat_fix,type,review_id,dungeon_show,tree_show,day_times,unlock_star,item_cost
10101,dungeon.name.1-1,dungeon.description.1-1,map_01,1,0,0,0,10102,0,0,101011;101012,20110001;20210001;20310001;6000,,,20010001;20110001,7:0:60:0;5:0:80:0;4:10138:0:0;2:98:0:1,1&1;1&1,0,6,1,159,0.12,1,1,sheet_dounge.dungeon_show.1,,-1,,-1
10102,dungeon.name.1-2,dungeon.description.1-2,map_01,0,1,10101,0,10103,60002,0,101021;101022,20110002;20210002;20310002;6000,,4:50032:0:0,20010002;20110002,7:0:60:0;5:0:85:0;4:50032:0:0;4:10138:0:0;2:98:0:1,1&1;3&1,0,6,1.25,313,0.25,1,1,sheet_dounge.dungeon_show.2,,10,1:1;,-1
10103,dungeon.name.1-3,dungeon.description.1-3,map_01,0,0,10102,0,10104,60003,0,101031;101032,20110003;20210003;20310003;6000,,,20010003;20110003,7:0:60:0;5:0:90:0;4:10138:0:0;2:98:0:1,69&1;5&1,0,6,1.52,369,0.29,1,1,sheet_dounge.dungeon_show.3,,-1,1:2;,-1
10104,dungeon.name.1-4,dungeon.description.1-4,map_01,0,0,10103,0,10105,0,0,101041;101042,20110004;20210004;20310004;6000,,,20010004;20110004,7:0:60:0;5:0:95:0;4:10138:0:0;2:98:0:1,5&1;69&1;4&1,0,6,2.24,510,0.4,1,1,sheet_dounge.dungeon_show.4,,-1,1:3;,-1
10105,dungeon.name.1-5,dungeon.description.1-5,map_01,0,2,10104,0,10201,20101,0,101051;101052,20110005;20210005;20310005;6000,,2:5:0:1,20010005;20110005,7:0:60:0;5:0:100:0;2:5:0:1;4:10138:0:0;2:98:0:1,1&1;5&1;69&1,0,6,2.69,558,0.44,1,1,sheet_dounge.dungeon_show.5,,5,1:4;,-1
10201,dungeon.name.2-1,dungeon.description.2-1,map_03,1,0,10105,0,10202,0,0,102011;102012,20110006;20210006;20310006;6000,,,20010006;20110006,7:0:60:0;5:0:105:0;4:10138:0:0;2:98:0:1,1&1;3&1,0,6,3.02,737,0.58,1,1,sheet_dounge.dungeon_show.6,,-1,1:5;,-1
10202,dungeon.name.2-2,dungeon.description.2-2,map_03,0,0,10201,0,10203,0,0,102021;102022,20110007;20210007;20310007;6000,,,20010007;20110007,7:0:60:0;5:0:105:0;4:10138:0:0;2:98:0:1,1&1;63&1,0,6,3.21,919,0.73,1,1,sheet_dounge.dungeon_show.7,,-1,1:6;,-1
10203,dungeon.name.2-3,dungeon.description.2-3,map_03,0,0,10202,0,10204,0,0,102031;102032,20110008;20210008;20310008;6000,,,20010008;20110008,7:0:60:0;5:0:110:0;4:10138:0:0;2:98:0:1,63&1;1&1,0,6,4.2,1486,1.18,1,1,sheet_dounge.dungeon_show.8,,-1,1:7;,-1
10204,dungeon.name.2-4,dungeon.description.2-4,map_03,0,1,10203,0,10205,0,0,102041;102042,20110009;20210009;20310009;6000,,4:50601:0:0,20010009;20110009,7:0:60:0;5:0:115:0;4:50601:0:0;4:10138:0:0;2:98:0:1,16&1;1&1,0,6,5.25,1879,1.5,1,1,sheet_dounge.dungeon_show.9,,10,1:8;,-1
10205,dungeon.name.2-5,dungeon.description.2-5,map_03,0,0,10204,0,10206,0,0,102051;102052,20110010;20210010;20310010;6000,,,20010010;20110010,7:0:60:0;5:0:115:0;4:10138:0:0;2:98:0:1,17&1;1&1,0,6,5.75,2063,1.65,1,1,sheet_dounge.dungeon_show.10,,-1,1:9;,-1
