id,attr_id,describe,attr_type,value_min,value_max,weight,attr_comat_const
112,112,装备基础属性,1,19,19,10,36
212,212,,1,28,28,10,36
312,312,,2,32,32,10,36
412,412,,2,18,18,10,36
512,512,,1,25,25,10,36
122,122,,3,16,16,10,36
222,222,,3,11,11,10,36
322,322,,3,9,9,10,36
422,422,,3,12,12,10,36
522,522,,3,14,14,10,36
132,132,,0,264,264,10,36
232,232,,0,185,185,10,36
332,332,,0,145,145,10,36
432,432,,0,198,198,10,36
532,532,,0,201,201,10,36
113,113,装备基础属性,1,24,24,10,45
213,213,,1,34,34,10,45
313,313,,2,41,41,10,45
413,413,,2,22,22,10,45
513,513,,1,31,31,10,45
123,123,,3,20,20,10,45
223,223,,3,14,14,10,45
323,323,,3,11,11,10,45
423,423,,3,15,15,10,45
523,523,,3,17,17,10,45
133,133,,0,330,330,10,45
233,233,,0,231,231,10,45
333,333,,0,182,182,10,45
433,433,,0,248,248,10,45
533,533,,0,251,251,10,45
114,114,装备基础属性,1,32,32,10,60
214,214,,1,46,46,10,60
314,314,,2,54,54,10,60
414,414,,2,30,30,10,60
514,514,,1,41,41,10,60
124,124,,3,27,27,10,60
224,224,,3,18,18,10,60
324,324,,3,15,15,10,60
424,424,,3,20,20,10,60
524,524,,3,23,23,10,60
134,134,,0,440,440,10,60
234,234,,0,308,308,10,60
334,334,,0,242,242,10,60
434,434,,0,330,330,10,60
534,534,,0,334,334,10,60
115,115,装备基础属性,1,46,46,10,86
215,215,,1,66,66,10,86
315,315,,2,77,77,10,86
415,415,,2,42,42,10,86
515,515,,1,59,59,10,86
125,125,,3,39,39,10,86
225,225,,3,26,26,10,86
325,325,,3,21,21,10,86
425,425,,3,28,28,10,86
525,525,,3,33,33,10,86
135,135,,0,629,629,10,86
235,235,,0,440,440,10,86
335,335,,0,346,346,10,86
435,435,,0,472,472,10,86
535,535,,0,478,478,10,86
10010201,10010200,武器随机属性,5,0.01,0.06,10,90
10010202,10010200,,7,0.01,0.09,10,90
10010203,10010200,,10,0.01,0.12,10,90
10010204,10010200,,12,0.01,0.17,10,90
10010205,10010200,,14,0.01,0.12,10,90
10010206,10010200,,18,0.01,0.08,10,90
10011201,10011200,魔法武器,5,0.01,0.06,10,90
10011202,10011200,,7,0.01,0.09,10,90
10011203,10011200,,10,0.01,0.12,10,90
10011204,10011200,,12,0.01,0.17,10,90
10011205,10011200,,14,0.01,0.12,10,90
10011206,10011200,,19,0.01,0.08,10,90
10020201,10020200,防具,6,0.01,0.06,10,90
10020202,10020200,,8,0.01,0.09,10,90
10020203,10020200,,9,0.01,0.12,10,90
10020204,10020200,,13,0.01,0.17,10,90
10020205,10020200,,17,0.01,0.12,10,90
10020206,10020200,,20,0.01,0.19,10,90
10030201,10030200,饰品,7,0.01,0.04,10,90
10030202,10030200,,8,0.01,0.04,10,90
10030203,10030200,,12,0.01,0.08,10,90
10030204,10030200,,13,0.01,0.08,10,90
10030205,10030200,,15,0.01,0.06,10,90
10030206,10030200,,16,0.01,0.12,10,90
10010301,10010300,武器随机属性,5,0.01,0.12,10,90
10010302,10010300,,7,0.01,0.17,10,90
10010303,10010300,,10,0.01,0.24,10,90
10010304,10010300,,12,0.01,0.34,10,90
10010305,10010300,,14,0.01,0.18,10,90
10010306,10010300,,18,0.01,0.15,10,90
10011301,10011300,魔法武器,5,0.01,0.12,10,90
10011302,10011300,,7,0.01,0.17,10,90
10011303,10011300,,10,0.01,0.24,10,90
10011304,10011300,,12,0.01,0.34,10,90
10011305,10011300,,14,0.01,0.18,10,90
10011306,10011300,,19,0.01,0.15,10,90
10020301,10020300,防具,6,0.01,0.12,10,90
10020302,10020300,,8,0.01,0.17,10,90
10020303,10020300,,9,0.01,0.24,10,90
10020304,10020300,,13,0.01,0.34,10,90
10020305,10020300,,17,0.01,0.24,10,90
10020306,10020300,,20,0.01,0.37,10,90
10030301,10030300,饰品,7,0.01,0.08,10,90
10030302,10030300,,8,0.01,0.08,10,90
10030303,10030300,,12,0.01,0.15,10,90
10030304,10030300,,13,0.01,0.15,10,90
10030305,10030300,,15,0.01,0.12,10,90
10030306,10030300,,16,0.01,0.24,10,90
10010401,10010400,武器随机属性,5,0.01,0.15,10,90
10010402,10010400,,7,0.01,0.21,10,90
10010403,10010400,,10,0.01,0.3,10,90
10010404,10010400,,12,0.01,0.42,10,90
10010405,10010400,,14,0.01,0.24,10,90
10010406,10010400,,18,0.01,0.18,10,90
10011401,10011400,魔法武器,5,0.01,0.15,10,90
10011402,10011400,,7,0.01,0.21,10,90
10011403,10011400,,10,0.01,0.3,10,90
10011404,10011400,,12,0.01,0.42,10,90
10011405,10011400,,14,0.01,0.24,10,90
10011406,10011400,,19,0.01,0.18,10,90
10020401,10020400,防具,6,0.01,0.15,10,90
10020402,10020400,,8,0.01,0.21,10,90
10020403,10020400,,9,0.01,0.3,10,90
10020404,10020400,,13,0.01,0.42,10,90
10020405,10020400,,17,0.01,0.3,10,90
10020406,10020400,,20,0.01,0.45,10,90
10030401,10030400,饰品,7,0.01,0.09,10,90
10030402,10030400,,8,0.01,0.09,10,90
10030403,10030400,,12,0.01,0.18,10,90
10030404,10030400,,13,0.01,0.18,10,90
10030405,10030400,,15,0.01,0.15,10,90
10030406,10030400,,16,0.01,0.3,10,90
10010501,10010500,武器随机属性,5,0.01,0.15,10,90
10010502,10010500,,7,0.01,0.21,10,90
10010503,10010500,,10,0.01,0.3,10,90
10010504,10010500,,12,0.01,0.42,10,90
10010505,10010500,,14,0.01,0.3,10,90
10010506,10010500,,18,0.01,0.18,10,90
10011501,10011500,魔法武器,5,0.01,0.15,10,90
10011502,10011500,,7,0.01,0.21,10,90
10011503,10011500,,10,0.01,0.3,10,90
10011504,10011500,,12,0.01,0.42,10,90
10011505,10011500,,14,0.01,0.3,10,90
10011506,10011500,,19,0.01,0.18,10,90
10020501,10020500,防具,6,0.01,0.15,10,90
10020502,10020500,,8,0.01,0.21,10,90
10020503,10020500,,9,0.01,0.3,10,90
10020504,10020500,,13,0.01,0.42,10,90
10020505,10020500,,17,0.01,0.3,10,90
