id,level,strengthen_type,cost,attr_add_a
1,0,2,80,0.6
2,1,2,120,0.6
3,2,2,140,0.6
4,3,2,170,0.6
5,4,2,200,0.6
6,5,2,240,0.6
7,6,2,280,0.6
8,7,2,320,0.6
9,8,2,370,0.6
10,9,2,450,0.6
11,10,2,510,0.6
12,11,2,550,0.6
13,12,2,640,0.6
14,13,2,690,0.6
15,14,2,750,0.6
16,15,2,860,0.6
17,16,2,950,0.6
18,17,2,1030,0.6
19,18,2,1110,0.6
20,19,2,1180,0.6
21,20,2,1230,0.6
22,21,2,1400,0.6
23,22,2,1590,0.6
24,23,2,1790,0.6
25,24,2,2010,0.6
26,25,2,2260,0.6
27,26,2,2520,0.6
28,27,2,2800,0.6
29,28,2,3380,0.6
30,29,2,4050,0.6
31,30,2,4800,0.6
32,31,2,5660,0.6
33,32,2,6620,0.6
34,33,2,7690,0.6
35,34,2,9870,0.6
36,35,2,11290,0.6
37,36,2,12860,0.6
38,37,2,14580,0.6
39,38,2,16480,0.6
40,39,2,19380,0.6
41,40,2,22600,0.6
42,41,2,26140,0.6
43,42,2,30040,0.6
44,43,2,34310,0.6
45,44,2,38970,0.6
46,45,2,42630,0.6
47,46,2,46460,0.6
48,47,2,50480,0.6
49,48,2,54690,0.6
50,49,2,59100,0.6
51,50,2,63700,0.6
52,51,2,68500,0.6
53,52,2,73510,0.6
54,53,2,78740,0.6
55,54,2,84170,0.6
56,55,2,89830,0.6
57,56,2,95720,0.6
58,57,2,101830,0.6
59,58,2,108180,0.6
60,59,2,114770,0.6
61,60,2,115360,0.6
62,61,2,115950,0.6
63,62,2,116540,0.6
64,63,2,117130,0.6
65,64,2,117720,0.6
66,65,2,118300,0.6
67,66,2,118890,0.6
68,67,2,119480,0.6
69,68,2,120070,0.6
70,69,2,120660,0.6
71,70,2,121250,0.6
72,71,2,121840,0.6
73,72,2,122420,0.6
74,73,2,123010,0.6
75,74,2,123600,0.6
76,75,2,124190,0.6
77,76,2,124780,0.6
78,77,2,125370,0.6
79,78,2,125960,0.6
80,79,2,126540,0.6
81,80,2,127130,0.6
82,81,2,127720,0.6
83,82,2,128310,0.6
84,83,2,128900,0.6
85,84,2,129490,0.6
86,85,2,130080,0.6
87,86,2,130660,0.6
88,87,2,131250,0.6
89,88,2,131840,0.6
90,89,2,132430,0.6
91,90,2,133020,0.6
92,91,2,133610,0.6
93,92,2,134200,0.6
94,93,2,134780,0.6
95,94,2,135370,0.6
96,95,2,135960,0.6
97,96,2,136550,0.6
98,97,2,137140,0.6
99,98,2,137730,0.6
100,99,2,184420,0.6
101,0,3,80,0.6
102,1,3,120,0.6
103,2,3,140,0.6
104,3,3,170,0.6
105,4,3,200,0.6
106,5,3,240,0.6
107,6,3,280,0.6
108,7,3,320,0.6
109,8,3,370,0.6
110,9,3,450,0.6
111,10,3,510,0.6
112,11,3,550,0.6
113,12,3,640,0.6
114,13,3,690,0.6
115,14,3,750,0.6
116,15,3,860,0.6
117,16,3,950,0.6
118,17,3,1030,0.6
119,18,3,1110,0.6
120,19,3,1180,0.6
121,20,3,1230,0.6
122,21,3,1400,0.6
123,22,3,1590,0.6
124,23,3,1790,0.6
125,24,3,2010,0.6
126,25,3,2260,0.6
127,26,3,2520,0.6
128,27,3,2800,0.6
129,28,3,3380,0.6
130,29,3,4050,0.6
131,30,3,4800,0.6
132,31,3,5660,0.6
133,32,3,6620,0.6
134,33,3,7690,0.6
135,34,3,9870,0.6
136,35,3,11290,0.6
137,36,3,12860,0.6
138,37,3,14580,0.6
139,38,3,16480,0.6
140,39,3,19380,0.6
141,40,3,22600,0.6
142,41,3,26140,0.6
143,42,3,30040,0.6
144,43,3,34310,0.6
145,44,3,38970,0.6
146,45,3,42630,0.6
147,46,3,46460,0.6
148,47,3,50480,0.6
149,48,3,54690,0.6
150,49,3,59100,0.6
151,50,3,63700,0.6
152,51,3,68500,0.6
153,52,3,73510,0.6
154,53,3,78740,0.6
155,54,3,84170,0.6
156,55,3,89830,0.6
157,56,3,95720,0.6
158,57,3,101830,0.6
159,58,3,108180,0.6
160,59,3,114770,0.6
161,60,3,115360,0.6
162,61,3,115950,0.6
163,62,3,116540,0.6
164,63,3,117130,0.6
165,64,3,117720,0.6
166,65,3,118300,0.6
167,66,3,118890,0.6
168,67,3,119480,0.6
169,68,3,120070,0.6
170,69,3,120660,0.6
171,70,3,121250,0.6
172,71,3,121840,0.6
173,72,3,122420,0.6
174,73,3,123010,0.6
175,74,3,123600,0.6
176,75,3,124190,0.6
177,76,3,124780,0.6
178,77,3,125370,0.6
179,78,3,125960,0.6
180,79,3,126540,0.6
181,80,3,127130,0.6
182,81,3,127720,0.6
183,82,3,128310,0.6
184,83,3,128900,0.6
185,84,3,129490,0.6
186,85,3,130080,0.6
187,86,3,130660,0.6
188,87,3,131250,0.6
189,88,3,131840,0.6
190,89,3,132430,0.6
191,90,3,133020,0.6
192,91,3,133610,0.6
193,92,3,134200,0.6
194,93,3,134780,0.6
195,94,3,135370,0.6
196,95,3,135960,0.6
197,96,3,136550,0.6
198,97,3,137140,0.6
199,98,3,137730,0.6
200,99,3,184420,0.6
201,0,4,80,0.6
202,1,4,120,0.6
203,2,4,140,0.6
204,3,4,170,0.6
205,4,4,200,0.6
206,5,4,240,0.6
207,6,4,280,0.6
208,7,4,320,0.6
209,8,4,370,0.6
210,9,4,450,0.6
211,10,4,510,0.6
212,11,4,550,0.6
213,12,4,640,0.6
214,13,4,690,0.6
215,14,4,750,0.6
216,15,4,860,0.6
217,16,4,950,0.6
218,17,4,1030,0.6
219,18,4,1110,0.6
220,19,4,1180,0.6
221,20,4,1230,0.6
222,21,4,1400,0.6
223,22,4,1590,0.6
224,23,4,1790,0.6
225,24,4,2010,0.6
226,25,4,2260,0.6
227,26,4,2520,0.6
228,27,4,2800,0.6
229,28,4,3380,0.6
230,29,4,4050,0.6
231,30,4,4800,0.6
232,31,4,5660,0.6
233,32,4,6620,0.6
234,33,4,7690,0.6
235,34,4,9870,0.6
236,35,4,11290,0.6
237,36,4,12860,0.6
238,37,4,14580,0.6
239,38,4,16480,0.6
240,39,4,19380,0.6
241,40,4,22600,0.6
242,41,4,26140,0.6
243,42,4,30040,0.6
244,43,4,34310,0.6
245,44,4,38970,0.6
246,45,4,42630,0.6
247,46,4,46460,0.6
248,47,4,50480,0.6
249,48,4,54690,0.6
250,49,4,59100,0.6
251,50,4,63700,0.6
252,51,4,68500,0.6
253,52,4,73510,0.6
254,53,4,78740,0.6
255,54,4,84170,0.6
256,55,4,89830,0.6
257,56,4,95720,0.6
258,57,4,101830,0.6
259,58,4,108180,0.6
260,59,4,114770,0.6
261,60,4,115360,0.6
262,61,4,115950,0.6
263,62,4,116540,0.6
264,63,4,117130,0.6
265,64,4,117720,0.6
266,65,4,118300,0.6
267,66,4,118890,0.6
268,67,4,119480,0.6
269,68,4,120070,0.6
270,69,4,120660,0.6
271,70,4,121250,0.6
272,71,4,121840,0.6
273,72,4,122420,0.6
274,73,4,123010,0.6
275,74,4,123600,0.6
276,75,4,124190,0.6
277,76,4,124780,0.6
278,77,4,125370,0.6
279,78,4,125960,0.6
280,79,4,126540,0.6
281,80,4,127130,0.6
282,81,4,127720,0.6
283,82,4,128310,0.6
284,83,4,128900,0.6
285,84,4,129490,0.6
286,85,4,130080,0.6
287,86,4,130660,0.6
288,87,4,131250,0.6
289,88,4,131840,0.6
290,89,4,132430,0.6
291,90,4,133020,0.6
292,91,4,133610,0.6
293,92,4,134200,0.6
294,93,4,134780,0.6
295,94,4,135370,0.6
296,95,4,135960,0.6
297,96,4,136550,0.6
298,97,4,137140,0.6
299,98,4,137730,0.6
300,99,4,184420,0.6
301,0,5,80,0.6
302,1,5,120,0.6
303,2,5,140,0.6
304,3,5,170,0.6
305,4,5,200,0.6
306,5,5,240,0.6
307,6,5,280,0.6
308,7,5,320,0.6
309,8,5,370,0.6
310,9,5,450,0.6
311,10,5,510,0.6
312,11,5,550,0.6
313,12,5,640,0.6
314,13,5,690,0.6
315,14,5,750,0.6
316,15,5,860,0.6
317,16,5,950,0.6
318,17,5,1030,0.6
319,18,5,1110,0.6
320,19,5,1180,0.6
321,20,5,1230,0.6
322,21,5,1400,0.6
323,22,5,1590,0.6
324,23,5,1790,0.6
325,24,5,2010,0.6
326,25,5,2260,0.6
327,26,5,2520,0.6
328,27,5,2800,0.6
329,28,5,3380,0.6
330,29,5,4050,0.6
331,30,5,4800,0.6
332,31,5,5660,0.6
333,32,5,6620,0.6
334,33,5,7690,0.6
335,34,5,9870,0.6
336,35,5,11290,0.6
337,36,5,12860,0.6
338,37,5,14580,0.6
339,38,5,16480,0.6
340,39,5,19380,0.6
341,40,5,22600,0.6
342,41,5,26140,0.6
343,42,5,30040,0.6
344,43,5,34310,0.6
345,44,5,38970,0.6
346,45,5,42630,0.6
347,46,5,46460,0.6
348,47,5,50480,0.6
349,48,5,54690,0.6
350,49,5,59100,0.6
351,50,5,63700,0.6
352,51,5,68500,0.6
353,52,5,73510,0.6
354,53,5,78740,0.6
355,54,5,84170,0.6
356,55,5,89830,0.6
357,56,5,95720,0.6
358,57,5,101830,0.6
359,58,5,108180,0.6
360,59,5,114770,0.6
361,60,5,115360,0.6
362,61,5,115950,0.6
363,62,5,116540,0.6
364,63,5,117130,0.6
365,64,5,117720,0.6
366,65,5,118300,0.6
367,66,5,118890,0.6
368,67,5,119480,0.6
369,68,5,120070,0.6
370,69,5,120660,0.6
371,70,5,121250,0.6
372,71,5,121840,0.6
373,72,5,122420,0.6
374,73,5,123010,0.6
375,74,5,123600,0.6
376,75,5,124190,0.6
377,76,5,124780,0.6
378,77,5,125370,0.6
379,78,5,125960,0.6
380,79,5,126540,0.6
381,80,5,127130,0.6
382,81,5,127720,0.6
383,82,5,128310,0.6
384,83,5,128900,0.6
385,84,5,129490,0.6
386,85,5,130080,0.6
387,86,5,130660,0.6
