id,hero_type,play_lv,hero_number,time,weight,award
1,1,1,1,14400,30,4:20001:1:0
2,2,1,1,14400,30,4:20001:1:0
3,3,1,1,14400,30,4:20001:1:0
4,4,1,1,14400,30,4:20001:1:0
5,5,1,1,14400,30,4:20001:1:0
6,1,1,2,43200,30,4:20001:2:0
7,2,1,2,43200,30,4:20001:2:0
8,3,1,2,43200,30,4:20001:2:0
9,4,1,2,43200,30,4:20001:2:0
10,5,1,2,43200,30,4:20001:2:0
11,1,1,3,82800,30,4:20001:3:0
12,2,1,3,82800,30,4:20001:3:0
13,3,1,3,82800,30,4:20001:3:0
14,4,1,3,82800,30,4:20001:3:0
15,5,1,3,82800,30,4:20001:3:0
16,1,1,1,14400,30,4:20101:1:0
17,2,1,1,14400,30,4:20101:1:0
18,3,1,1,14400,30,4:20101:1:0
19,4,1,1,14400,30,4:20101:1:0
20,5,1,1,14400,30,4:20101:1:0
21,1,1,2,43200,30,4:20101:2:0
22,2,1,2,43200,30,4:20101:2:0
23,3,1,2,43200,30,4:20101:2:0
24,4,1,2,43200,30,4:20101:2:0
25,5,1,2,43200,30,4:20101:2:0
26,1,1,3,82800,30,4:20101:3:0
27,2,1,3,82800,30,4:20101:3:0
28,3,1,3,82800,30,4:20101:3:0
29,4,1,3,82800,30,4:20101:3:0
30,5,1,3,82800,30,4:20101:3:0
31,1,1,1,14400,30,4:20201:1:0
32,2,1,1,14400,30,4:20201:1:0
33,3,1,1,14400,30,4:20201:1:0
34,4,1,1,14400,30,4:20201:1:0
35,5,1,1,14400,30,4:20201:1:0
36,1,1,2,43200,30,4:20201:2:0
37,2,1,2,43200,30,4:20201:2:0
38,3,1,2,43200,30,4:20201:2:0
39,4,1,2,43200,30,4:20201:2:0
40,5,1,2,43200,30,4:20201:2:0
41,1,1,3,82800,30,4:20201:3:0
42,2,1,3,82800,30,4:20201:3:0
43,3,1,3,82800,30,4:20201:3:0
44,4,1,3,82800,30,4:20201:3:0
45,5,1,3,82800,30,4:20201:3:0
46,1,1,1,14400,30,4:20301:1:0
47,2,1,1,14400,30,4:20301:1:0
48,3,1,1,14400,30,4:20301:1:0
49,4,1,1,14400,30,4:20301:1:0
50,5,1,1,14400,30,4:20301:1:0
51,1,1,2,43200,30,4:20301:2:0
52,2,1,2,43200,30,4:20301:2:0
53,3,1,2,43200,30,4:20301:2:0
54,4,1,2,43200,30,4:20301:2:0
55,5,1,2,43200,30,4:20301:2:0
56,1,1,3,82800,30,4:20301:3:0
57,2,1,3,82800,30,4:20301:3:0
58,3,1,3,82800,30,4:20301:3:0
59,4,1,3,82800,30,4:20301:3:0
60,5,1,3,82800,30,4:20301:3:0
61,1,1,1,14400,120,4:10350:2:0
62,2,1,1,14400,120,4:10350:2:0
63,3,1,1,14400,120,4:10350:2:0
64,4,1,1,14400,120,4:10350:2:0
65,5,1,1,14400,120,4:10350:2:0
66,1,1,2,43200,120,4:10350:4:0
67,2,1,2,43200,120,4:10350:4:0
68,3,1,2,43200,120,4:10350:4:0
69,4,1,2,43200,120,4:10350:4:0
70,5,1,2,43200,120,4:10350:4:0
71,1,1,3,82800,120,4:10350:6:0
72,2,1,3,82800,120,4:10350:6:0
73,3,1,3,82800,120,4:10350:6:0
74,4,1,3,82800,120,4:10350:6:0
75,5,1,3,82800,120,4:10350:6:0
76,1,1,1,14400,200,8:0:1200:0
77,2,1,1,14400,200,8:0:1200:0
78,3,1,1,14400,200,8:0:1200:0
79,4,1,1,14400,200,8:0:1200:0
80,5,1,1,14400,200,8:0:1200:0
81,1,1,2,43200,200,8:0:4500:0
82,2,1,2,43200,200,8:0:4500:0
83,3,1,2,43200,200,8:0:4500:0
84,4,1,2,43200,200,8:0:4500:0
85,5,1,2,43200,200,8:0:4500:0
86,1,1,3,82800,200,8:0:10000:0
87,2,1,3,82800,200,8:0:10000:0
88,3,1,3,82800,200,8:0:10000:0
89,4,1,3,82800,200,8:0:10000:0
90,5,1,3,82800,200,8:0:10000:0
91,1,1,1,14400,100,4:10600:10:0
92,2,1,1,14400,100,4:10600:10:0
93,3,1,1,14400,100,4:10600:10:0
94,4,1,1,14400,100,4:10600:10:0
95,5,1,1,14400,100,4:10600:10:0
96,1,1,2,43200,100,4:10600:36:0
97,2,1,2,43200,100,4:10600:36:0
98,3,1,2,43200,100,4:10600:36:0
99,4,1,2,43200,100,4:10600:36:0
100,5,1,2,43200,100,4:10600:36:0
101,1,1,3,82800,100,4:10600:72:0
102,2,1,3,82800,100,4:10600:72:0
103,3,1,3,82800,100,4:10600:72:0
104,4,1,3,82800,100,4:10600:72:0
105,5,1,3,82800,100,4:10600:72:0
106,1,1,1,14400,100,4:10601:1:0
107,2,1,1,14400,100,4:10601:1:0
108,3,1,1,14400,100,4:10601:1:0
109,4,1,1,14400,100,4:10601:1:0
110,5,1,1,14400,100,4:10601:1:0
111,1,1,2,43200,100,4:10601:4:0
112,2,1,2,43200,100,4:10601:4:0
113,3,1,2,43200,100,4:10601:4:0
114,4,1,2,43200,100,4:10601:4:0
115,5,1,2,43200,100,4:10601:4:0
116,1,1,3,82800,100,4:10601:8:0
117,2,1,3,82800,100,4:10601:8:0
118,3,1,3,82800,100,4:10601:8:0
119,4,1,3,82800,100,4:10601:8:0
120,5,1,3,82800,100,4:10601:8:0
