id,guild_lv,exp,guild_number,sign_reward,sign_exp,gvg_open,guild_donation_number,guild_donation_gold,guild_donation_award,guild_donation_exp
1,1,0,30,19:0:100:0,20,0,3,8:0:20000:0;9:0:100:0;9:0:300:0,19:0:100:0;19:0:500:0;19:0:1500:0,10;10;100
2,2,1000,35,19:0:110:0,20,0,3,8:0:20000:0;9:0:100:0;9:0:300:0,19:0:100:0;19:0:500:0;19:0:1500:0,10;10;100
3,3,2000,40,19:0:120:0,20,1,3,8:0:20000:0;9:0:100:0;9:0:300:0,19:0:100:0;19:0:500:0;19:0:1500:0,10;10;100
4,4,4000,45,19:0:130:0,20,1,3,8:0:20000:0;9:0:100:0;9:0:300:0,19:0:100:0;19:0:500:0;19:0:1500:0,10;10;100
5,5,7000,50,19:0:140:0,20,1,3,8:0:20000:0;9:0:100:0;9:0:300:0,19:0:100:0;19:0:500:0;19:0:1500:0,10;10;100
6,6,10000,55,19:0:150:0,20,1,3,8:0:20000:0;9:0:100:0;9:0:300:0,19:0:100:0;19:0:500:0;19:0:1500:0,10;10;100
7,7,15000,60,19:0:160:0,20,1,3,8:0:20000:0;9:0:100:0;9:0:300:0,19:0:100:0;19:0:500:0;19:0:1500:0,10;10;100
8,8,30000,65,19:0:170:0,20,1,3,8:0:20000:0;9:0:100:0;9:0:300:0,19:0:100:0;19:0:500:0;19:0:1500:0,10;10;100
9,9,50000,70,19:0:180:0,20,1,3,8:0:20000:0;9:0:100:0;9:0:300:0,19:0:100:0;19:0:500:0;19:0:1500:0,10;10;100
10,10,80000,75,19:0:190:0,20,1,3,8:0:20000:0;9:0:100:0;9:0:300:0,19:0:100:0;19:0:500:0;19:0:1500:0,10;10;100
11,11,110000,80,19:0:200:0,20,1,3,8:0:20000:0;9:0:100:0;9:0:300:0,19:0:100:0;19:0:500:0;19:0:1500:0,10;10;100
12,12,150000,85,19:0:210:0,20,1,3,8:0:20000:0;9:0:100:0;9:0:300:0,19:0:100:0;19:0:500:0;19:0:1500:0,10;10;100
13,13,180000,90,19:0:220:0,20,1,3,8:0:20000:0;9:0:100:0;9:0:300:0,19:0:100:0;19:0:500:0;19:0:1500:0,10;10;100
14,14,200000,95,19:0:230:0,20,1,3,8:0:20000:0;9:0:100:0;9:0:300:0,19:0:100:0;19:0:500:0;19:0:1500:0,10;10;100
15,15,230000,100,19:0:240:0,20,1,3,8:0:20000:0;9:0:100:0;9:0:300:0,19:0:100:0;19:0:500:0;19:0:1500:0,10;10;100
