id,type,gulid_lv,item,scale,cost
1,1,1,4:10600:25:0,10,19:0:150:0
2,1,1,4:10601:5:0,10,19:0:300:0
3,1,1,4:10602:1:0,10,19:0:600:0
4,2,1,4:10600:25:0,10,19:0:150:0
5,2,1,4:10601:5:0,10,19:0:300:0
6,2,1,4:10602:1:0,10,19:0:600:0
7,3,2,4:51224:2:0,10,19:0:600:0
8,4,3,4:51173:2:0,10,19:0:600:0
9,5,4,4:51304:1:0,10,19:0:2000:0
10,6,4,4:20001:1:0,10,19:0:100:0
11,6,4,4:20002:1:0,10,19:0:300:0
12,6,4,4:20101:1:0,10,19:0:100:0
13,6,4,4:20102:1:0,10,19:0:300:0
14,6,4,4:20201:1:0,10,19:0:100:0
15,6,4,4:20202:1:0,10,19:0:300:0
16,6,4,4:20301:1:0,10,19:0:100:0
17,6,4,4:20302:1:0,10,19:0:300:0
18,6,4,4:20501:1:0,10,19:0:100:0
19,6,4,4:20502:1:0,10,19:0:300:0
20,6,4,4:20601:1:0,10,19:0:100:0
21,6,4,4:20602:1:0,10,19:0:300:0
22,6,4,4:20901:1:0,10,19:0:100:0
23,6,4,4:20902:1:0,10,19:0:300:0
24,7,5,4:20001:1:0,10,19:0:100:0
25,7,5,4:20002:1:0,10,19:0:300:0
26,7,5,4:20101:1:0,10,19:0:100:0
27,7,5,4:20102:1:0,10,19:0:300:0
28,7,5,4:20201:1:0,10,19:0:100:0
29,7,5,4:20202:1:0,10,19:0:300:0
2001,7,5,4:20301:1:0,10,19:0:100:0
2002,7,5,4:20302:1:0,10,19:0:300:0
2003,7,5,4:20501:1:0,10,19:0:100:0
2004,7,5,4:20502:1:0,10,19:0:300:0
2005,7,5,4:20601:1:0,10,19:0:100:0
2006,7,5,4:20602:1:0,10,19:0:300:0
2007,7,5,4:20901:1:0,10,19:0:100:0
2008,7,5,4:20902:1:0,10,19:0:300:0
2009,8,6,4:20003:1:0,10,19:0:900:0
2010,8,6,4:20004:1:0,10,19:0:2700:0
2011,8,6,4:20103:1:0,10,19:0:900:0
2012,8,6,4:20104:1:0,10,19:0:2700:0
2013,8,6,4:20203:1:0,10,19:0:900:0
2014,8,6,4:20204:1:0,10,19:0:2700:0
2015,8,6,4:20303:1:0,10,19:0:900:0
2016,8,6,4:20304:1:0,10,19:0:2700:0
2017,8,6,4:20503:1:0,10,19:0:900:0
2018,8,6,4:20504:1:0,10,19:0:2700:0
2019,8,6,4:20603:1:0,10,19:0:900:0
2020,8,6,4:20604:1:0,10,19:0:2700:0
2021,8,6,4:20903:1:0,10,19:0:900:0
2022,8,6,4:20904:1:0,10,19:0:2700:0
2023,9,8,4:20003:1:0,10,19:0:900:0
2024,9,8,4:20004:1:0,10,19:0:2700:0
2025,9,8,4:20103:1:0,10,19:0:900:0
2026,9,8,4:20104:1:0,10,19:0:2700:0
2027,9,8,4:20203:1:0,10,19:0:900:0
2028,9,8,4:20204:1:0,10,19:0:2700:0
3001,9,8,4:20303:1:0,10,19:0:900:0
3002,9,8,4:20304:1:0,10,19:0:2700:0
3003,9,8,4:20503:1:0,10,19:0:900:0
3004,9,8,4:20504:1:0,10,19:0:2700:0
3005,9,8,4:20603:1:0,10,19:0:900:0
3006,9,8,4:20604:1:0,10,19:0:2700:0
3007,9,8,4:20903:1:0,10,19:0:900:0
3008,9,8,4:20904:1:0,10,19:0:2700:0
3009,10,10,4:20003:1:0,10,19:0:900:0
3010,10,10,4:20004:1:0,10,19:0:2700:0
3011,10,10,4:20103:1:0,10,19:0:900:0
3012,10,10,4:20104:1:0,10,19:0:2700:0
3013,10,10,4:20203:1:0,10,19:0:900:0
3014,10,10,4:20204:1:0,10,19:0:2700:0
3015,10,10,4:20303:1:0,10,19:0:900:0
3016,10,10,4:20304:1:0,10,19:0:2700:0
3017,10,10,4:20503:1:0,10,19:0:900:0
3018,10,10,4:20504:1:0,10,19:0:2700:0
3019,10,10,4:20603:1:0,10,19:0:900:0
3020,10,10,4:20604:1:0,10,19:0:2700:0
3021,10,10,4:20903:1:0,10,19:0:900:0
3022,10,10,4:20904:1:0,10,19:0:2700:0
