id,type,pic,name,des,item,
10001,1,sprite/task_icon/1,mail.10001.name,mail.10001.des,,50级奖励
10002,1,sprite/task_icon/1,mail.10002.name,mail.10002.des,,40级奖励
10003,1,sprite/task_icon/1,mail.10003.name,mail.10003.des,,30级奖励
10004,1,sprite/task_icon/1,mail.10004.name,mail.10004.des,,20级奖励
10005,1,sprite/task_icon/1,mail.10005.name,mail.10005.des,,10级奖励
10101,2,sprite/task_icon/8,mail.10101.name,mail.10101.des,,你在世界boss的战斗中，伤害排名第N，特此给予奖励，再接再厉
10102,2,sprite/task_icon/8,mail.10102.name,mail.10102.des,,你在世界boss的战斗中，成功的击杀了boss，特此给予奖励，再接再厉
10103,2,sprite/task_icon/8,mail.10103.name,mail.10103.des,,你在世界boss的战斗中，对Boss造成了N点伤害，特此给予奖励，再接再厉
10301,4,sprite/task_icon/3,mail.10301.name,mail.10301.des,,扫荡奖励
10401,5,sprite/task_icon/3,mail.10401.name,mail.10401.des,,老玩家回归
10501,1,sprite/task_icon/5,mail.10501.name,mail.10501.des,8:0:10000:0;4:10600:5:0,欢迎加入游戏
10502,1,sprite/task_icon/5,mail.10502.name,mail.10502.des,8:0:10000:0;9:0:200:0;4:10601:10:0;4:50981:20:0,内测感恩礼包
10503,1,sprite/task_icon/5,mail.10503.name,mail.10503.des,,双倍返还奖励
10601,6,sprite/task_icon/1,mail.10601.name,mail.10601.des,,竞技场每日排名奖励
10701,7,sprite/task_icon/34,mail.10701.name,mail.10701.des,9:0:88:0;8:0:888:0,月卡
10702,7,sprite/task_icon/35,mail.10702.name,mail.10702.des,9:0:288:0;8:0:2888:0,至尊月卡
10801,8,sprite/task_icon/5,mail.10801.name,mail.10801.des,,转盘邮件
99999,99,sprite/task_icon/6,mail.99999.name,mail.99999.des,,运营专用公告
99998,99,sprite/task_icon/7,mail.99999.name,mail.99999.des,,赔偿
99997,99,sprite/task_icon/5,mail.99999.name,mail.99999.des,,更新
99996,99,sprite/task_icon/8,mail.99999.name,mail.99999.des,,其他活动等
99995,99,sprite/task_icon/5,mail.99999.name,mail.99999.des,,
99994,99,sprite/task_icon/5,mail.99999.name,mail.99999.des,,
99993,99,sprite/task_icon/5,mail.99999.name,mail.99999.des,,
99992,99,sprite/task_icon/5,mail.99999.name,mail.99999.des,,
99991,99,sprite/task_icon/5,mail.99999.name,mail.99999.des,,
99990,99,sprite/task_icon/5,mail.99999.name,mail.99999.des,,
