id,rule_id,des1,item,scale,cost1,cost2,cost3,cost4
1,101,综合商店英雄包1,4:51334:1:0,150,9:0:400:0,-1,-1,-1
2,101,,4:51334:2:0,100,9:0:800:0,-1,-1,-1
3,101,,4:51334:5:0,50,9:0:2000:0,-1,-1,-1
4,101,,4:50112:2:0,150,9:0:120:0,-1,-1,-1
5,101,,4:50112:5:0,100,9:0:300:0,-1,-1,-1
6,101,,4:50112:10:0,50,9:0:600:0,-1,-1,-1
7,101,,4:51464:2:0,150,9:0:120:0,-1,-1,-1
8,101,,4:51464:5:0,100,9:0:300:0,-1,-1,-1
9,101,,4:51464:10:0,50,9:0:600:0,-1,-1,-1
10,101,,4:50032:10:0,100,9:0:80:0,-1,-1,-1
11,101,,4:50332:10:0,100,9:0:80:0,-1,-1,-1
12,101,,4:50663:10:0,100,9:0:80:0,-1,-1,-1
13,101,,4:50081:10:0,100,9:0:80:0,-1,-1,-1
14,101,,4:50102:10:0,100,9:0:80:0,-1,-1,-1
15,101,,4:50122:10:0,100,9:0:80:0,-1,-1,-1
16,101,,4:50162:10:0,100,9:0:80:0,-1,-1,-1
17,101,,4:50342:10:0,100,9:0:80:0,-1,-1,-1
18,101,,4:50432:10:0,100,9:0:80:0,-1,-1,-1
19,101,,4:50601:10:0,100,9:0:80:0,-1,-1,-1
20,101,,4:50653:10:0,100,9:0:80:0,-1,-1,-1
21,101,,4:51363:10:0,100,9:0:80:0,-1,-1,-1
22,101,,4:50091:10:0,100,9:0:80:0,-1,-1,-1
23,101,,4:50132:10:0,100,9:0:80:0,-1,-1,-1
24,101,,4:50242:10:0,100,9:0:80:0,-1,-1,-1
25,101,,4:50292:10:0,100,9:0:80:0,-1,-1,-1
26,101,,4:50302:10:0,100,9:0:80:0,-1,-1,-1
27,101,,4:50313:10:0,100,9:0:80:0,-1,-1,-1
28,101,,4:50362:10:0,100,9:0:80:0,-1,-1,-1
29,101,,4:50172:10:0,100,9:0:80:0,-1,-1,-1
30,102,综合商店英雄包2,4:51334:1:0,150,9:0:400:0,-1,-1,-1
31,102,,4:51334:2:0,100,9:0:800:0,-1,-1,-1
32,102,,4:51334:5:0,50,9:0:2000:0,-1,-1,-1
33,102,,4:50112:2:0,150,9:0:120:0,-1,-1,-1
34,102,,4:50112:5:0,100,9:0:300:0,-1,-1,-1
35,102,,4:50112:10:0,50,9:0:600:0,-1,-1,-1
36,102,,4:51464:2:0,150,9:0:120:0,-1,-1,-1
37,102,,4:51464:5:0,100,9:0:300:0,-1,-1,-1
38,102,,4:51464:10:0,50,9:0:600:0,-1,-1,-1
39,102,,4:50032:10:0,100,9:0:80:0,-1,-1,-1
40,102,,4:50332:10:0,100,9:0:80:0,-1,-1,-1
41,102,,4:50663:10:0,100,9:0:80:0,-1,-1,-1
42,102,,4:50081:10:0,100,9:0:80:0,-1,-1,-1
43,102,,4:50102:10:0,100,9:0:80:0,-1,-1,-1
44,102,,4:50122:10:0,100,9:0:80:0,-1,-1,-1
45,102,,4:50162:10:0,100,9:0:80:0,-1,-1,-1
46,102,,4:50342:10:0,100,9:0:80:0,-1,-1,-1
47,102,,4:50432:10:0,100,9:0:80:0,-1,-1,-1
48,102,,4:50601:10:0,100,9:0:80:0,-1,-1,-1
49,102,,4:50653:10:0,100,9:0:80:0,-1,-1,-1
50,102,,4:51363:10:0,100,9:0:80:0,-1,-1,-1
51,102,,4:50091:10:0,100,9:0:80:0,-1,-1,-1
52,102,,4:50132:10:0,100,9:0:80:0,-1,-1,-1
53,102,,4:50242:10:0,100,9:0:80:0,-1,-1,-1
54,102,,4:50292:10:0,100,9:0:80:0,-1,-1,-1
55,102,,4:50302:10:0,100,9:0:80:0,-1,-1,-1
56,102,,4:50313:10:0,100,9:0:80:0,-1,-1,-1
57,102,,4:50362:10:0,100,9:0:80:0,-1,-1,-1
58,102,,4:50172:10:0,100,9:0:80:0,-1,-1,-1
59,103,综合商店装备包1,4:60115:1:0,250,9:0:800:0,-1,-1,-1
60,103,,4:60215:1:0,250,9:0:800:0,-1,-1,-1
61,103,,4:60315:1:0,250,9:0:800:0,-1,-1,-1
62,103,,4:60415:1:0,250,9:0:800:0,-1,-1,-1
63,103,,4:60515:1:0,250,9:0:800:0,-1,-1,-1
64,103,,4:60125:1:0,250,9:0:800:0,-1,-1,-1
65,103,,4:60225:1:0,250,9:0:800:0,-1,-1,-1
66,103,,4:60325:1:0,250,9:0:800:0,-1,-1,-1
67,103,,4:60425:1:0,250,9:0:800:0,-1,-1,-1
68,103,,4:60525:1:0,250,9:0:800:0,-1,-1,-1
69,103,,4:60135:1:0,250,9:0:800:0,-1,-1,-1
70,103,,4:60235:1:0,250,9:0:800:0,-1,-1,-1
71,103,,4:60335:1:0,250,9:0:800:0,-1,-1,-1
72,103,,4:60435:1:0,250,9:0:800:0,-1,-1,-1
73,103,,4:60535:1:0,250,9:0:800:0,-1,-1,-1
74,103,,4:60115:5:0,50,9:0:4000:0,-1,-1,-1
75,103,,4:60215:5:0,50,9:0:4000:0,-1,-1,-1
76,103,,4:60315:5:0,50,9:0:4000:0,-1,-1,-1
