effect,type,effect_type,basic_value,value_add
20011,1,0,100,100
20012,1,2,15,15
20013,1,3,10,10
20021,1,0,100,100
20022,1,2,15,15
20023,1,3,10,10
20031,1,0,100,100
20032,1,2,15,15
20033,1,3,10,10
20034,1,0,100,100
20035,1,2,15,15
20036,1,3,10,10
20037,1,0,100,100
20111,1,0,100,100
20112,1,2,15,15
20113,1,3,10,10
20121,1,0,100,100
20122,1,2,15,15
20123,1,3,10,10
20131,1,0,100,100
20132,1,2,15,15
20133,1,3,10,10
20134,1,0,100,100
20135,1,2,15,15
20136,1,3,10,10
20137,1,0,100,100
20211,1,0,100,100
20212,1,2,15,15
20213,1,3,10,10
20221,1,0,100,100
20222,1,2,15,15
20223,1,3,10,10
20231,1,0,100,100
20232,1,2,15,15
20233,1,3,10,10
20234,1,0,100,100
20235,1,2,15,15
20236,1,3,10,10
20237,1,0,100,100
