id,piece_id,hero_id,can_compose
50011,4:50011:20:0,2:1:1:1,1
50032,4:50032:20:0,2:3:1:1,1
50051,4:50051:20:0,2:4:1:1,1
50041,4:50041:20:0,2:5:1:1,1
50081,4:50081:20:0,2:8:1:1,1
50091,4:50091:20:0,2:9:1:1,1
50102,4:50102:20:0,2:10:1:1,1
50112,4:50112:20:0,2:11:1:1,1
50122,4:50122:20:0,2:12:1:1,1
50132,4:50132:20:0,2:13:1:1,1
50143,4:50143:20:0,2:14:1:1,1
50151,4:50151:20:0,2:15:1:1,1
50162,4:50162:20:0,2:16:1:1,1
50172,4:50172:20:0,2:17:1:1,1
50184,4:50184:20:0,2:18:1:1,1
50203,4:50203:20:0,2:20:1:1,1
50234,4:50234:20:0,2:23:1:1,1
50242,4:50242:20:0,2:24:1:1,1
50273,4:50273:20:0,2:27:1:1,1
50292,4:50292:20:0,2:29:1:1,1
50302,4:50302:20:0,2:30:1:1,1
50313,4:50313:20:0,2:31:1:1,1
50324,4:50324:20:0,2:32:1:1,1
50332,4:50332:20:0,2:33:1:1,1
50342,4:50342:20:0,2:34:1:1,1
50353,4:50353:20:0,2:35:1:1,1
50362,4:50362:20:0,2:36:1:1,1
50373,4:50373:20:0,2:37:1:1,1
50423,4:50423:20:0,2:42:1:1,1
50432,4:50432:20:0,2:43:1:1,1
50494,4:50494:20:0,2:49:1:1,1
50506,4:50506:20:0,2:50:1:1,1
50516,4:50516:20:0,2:51:1:1,1
50526,4:50526:20:0,2:52:1:1,1
50536,4:50536:20:0,2:53:1:1,1
50581,4:50581:20:0,2:58:1:1,1
50591,4:50591:20:0,2:59:1:1,1
50601,4:50601:20:0,2:60:1:1,1
50611,4:50611:20:0,2:61:1:1,1
50631,4:50631:20:0,2:63:1:1,1
50653,4:50653:20:0,2:65:1:1,1
50663,4:50663:20:0,2:66:1:1,1
50691,4:50691:20:0,2:69:1:1,1
50981,4:50981:20:0,2:98:1:1,1
50991,4:50991:20:0,2:99:1:1,1
51001,4:51001:20:0,2:100:1:1,1
51013,4:51013:20:0,2:101:1:1,1
51023,4:51023:20:0,2:102:1:1,1
51034,4:51034:20:0,2:103:1:1,1
51044,4:51044:20:0,2:104:1:1,1
51054,4:51054:20:0,2:105:1:1,1
51074,4:51074:20:0,2:107:1:1,1
51084,4:51084:20:0,2:108:1:1,1
51093,4:51093:20:0,2:109:1:1,1
51104,4:51104:20:0,2:110:1:1,1
51123,4:51123:20:0,2:112:1:1,1
51154,4:51154:20:0,2:115:1:1,1
51173,4:51173:20:0,2:117:1:1,1
51193,4:51193:20:0,2:119:1:1,1
51204,4:51204:20:0,2:120:1:1,1
51214,4:51214:20:0,2:121:1:1,1
51224,4:51224:20:0,2:122:1:1,1
51243,4:51243:20:0,2:124:1:1,1
51254,4:51254:20:0,2:125:1:1,1
51284,4:51284:20:0,2:128:1:1,1
51294,4:51294:20:0,2:129:1:1,1
51304,4:51304:20:0,2:130:1:1,1
51314,4:51314:20:0,2:131:1:1,1
51334,4:51334:20:0,2:133:1:1,1
51344,4:51344:20:0,2:134:1:1,1
51363,4:51363:20:0,2:136:1:1,1
51374,4:51374:20:0,2:137:1:1,1
51384,4:51384:20:0,2:138:1:1,1
51394,4:51394:20:0,2:139:1:1,1
51403,4:51403:20:0,2:140:1:1,1
51414,4:51414:20:0,2:141:1:1,1
51464,4:51464:20:0,2:146:1:1,1
51474,4:51474:20:0,2:147:1:1,1
51480,4:51480:20:0,2:148:1:1,1
51490,4:51490:20:0,2:149:1:1,1
51500,4:51500:20:0,2:150:1:1,1
51510,4:51510:20:0,2:151:1:1,1
51520,4:51520:20:0,2:152:1:1,1
51550,4:51550:20:0,2:155:1:5,1
51560,4:51560:20:0,2:156:1:5,1
51570,4:51570:20:0,2:157:1:5,1
51580,4:51580:20:0,2:158:1:5,1
51590,4:51590:20:0,2:159:1:5,1
51600,4:51600:20:0,2:160:1:5,1
51610,4:51610:20:0,2:161:1:5,1
51620,4:51620:20:0,2:162:1:5,1
52004,4:52004:20:0,2:200:1:1,0
52015,4:52015:20:0,2:201:1:1,0
52026,4:52026:20:0,2:202:1:1,0
52036,4:52036:20:0,2:203:1:1,0
52046,4:52046:20:0,2:204:1:1,0
52056,4:52056:20:0,2:205:1:1,0
52066,4:52066:20:0,2:206:1:1,0
60112,4:60112:10:0,3:112:1:0,1
60212,4:60212:10:0,3:212:1:0,1
60312,4:60312:10:0,3:312:1:0,1
60412,4:60412:10:0,3:412:1:0,1
60512,4:60512:10:0,3:512:1:0,1
60122,4:60122:10:0,3:122:1:0,1
60222,4:60222:10:0,3:222:1:0,1
60322,4:60322:10:0,3:322:1:0,1
60422,4:60422:10:0,3:422:1:0,1
60522,4:60522:10:0,3:522:1:0,1
60132,4:60132:10:0,3:132:1:0,1
60232,4:60232:10:0,3:232:1:0,1
60332,4:60332:10:0,3:332:1:0,1
60432,4:60432:10:0,3:432:1:0,1
60532,4:60532:10:0,3:532:1:0,1
60113,4:60113:10:0,3:113:1:0,1
60213,4:60213:10:0,3:213:1:0,1
60313,4:60313:10:0,3:313:1:0,1
60413,4:60413:10:0,3:413:1:0,1
60513,4:60513:10:0,3:513:1:0,1
60123,4:60123:10:0,3:123:1:0,1
60223,4:60223:10:0,3:223:1:0,1
60323,4:60323:10:0,3:323:1:0,1
60423,4:60423:10:0,3:423:1:0,1
60523,4:60523:10:0,3:523:1:0,1
60133,4:60133:10:0,3:133:1:0,1
60233,4:60233:10:0,3:233:1:0,1
60333,4:60333:10:0,3:333:1:0,1
60433,4:60433:10:0,3:433:1:0,1
60533,4:60533:10:0,3:533:1:0,1
60114,4:60114:10:0,3:114:1:0,1
60214,4:60214:10:0,3:214:1:0,1
60314,4:60314:10:0,3:314:1:0,1
60414,4:60414:10:0,3:414:1:0,1
60514,4:60514:10:0,3:514:1:0,1
60124,4:60124:10:0,3:124:1:0,1
60224,4:60224:10:0,3:224:1:0,1
60324,4:60324:10:0,3:324:1:0,1
60424,4:60424:10:0,3:424:1:0,1
60524,4:60524:10:0,3:524:1:0,1
60134,4:60134:10:0,3:134:1:0,1
60234,4:60234:10:0,3:234:1:0,1
60334,4:60334:10:0,3:334:1:0,1
60434,4:60434:10:0,3:434:1:0,1
60534,4:60534:10:0,3:534:1:0,1
60115,4:60115:10:0,3:115:1:0,1
60215,4:60215:10:0,3:215:1:0,1
60315,4:60315:10:0,3:315:1:0,1
60415,4:60415:10:0,3:415:1:0,1
60515,4:60515:10:0,3:515:1:0,1
60125,4:60125:10:0,3:125:1:0,1
60225,4:60225:10:0,3:225:1:0,1
60325,4:60325:10:0,3:325:1:0,1
60425,4:60425:10:0,3:425:1:0,1
60525,4:60525:10:0,3:525:1:0,1
60135,4:60135:10:0,3:135:1:0,1
60235,4:60235:10:0,3:235:1:0,1
60335,4:60335:10:0,3:335:1:0,1
60435,4:60435:10:0,3:435:1:0,1
60535,4:60535:10:0,3:535:1:0,1
