prize_id,type,item_id,star,weight,limit,count_min,count_max,,,,,
1,2,3,1,140,0,1,1,,,,,
1,2,33,1,140,0,1,1,,,,,
1,2,66,1,140,0,1,1,,,,,
1,2,8,1,140,0,1,1,,,,,
1,2,10,1,140,0,1,1,,,,,
1,2,12,1,140,0,1,1,,,,,
1,2,16,1,140,0,1,1,,,,,
1,2,34,1,140,0,1,1,,,,,
1,2,43,1,140,0,1,1,,,,,
1,2,60,1,140,0,1,1,,,,,
1,2,65,1,140,0,1,1,,,,,
1,2,136,1,140,0,1,1,,,,,
1,2,9,1,140,0,1,1,,,,,
1,2,13,1,140,0,1,1,,,,,
1,2,24,1,140,0,1,1,,,,,
1,2,29,1,140,0,1,1,,,,,
1,2,30,1,140,0,1,1,,,,,
1,2,31,1,140,0,1,1,,,,,
1,2,36,1,140,0,1,1,,,,,
1,2,17,1,140,0,1,1,,,,,
1,2,11,1,73,0,1,1,,,,,
1,2,18,1,73,0,1,1,,,,,
1,2,35,1,73,0,1,1,,,,,
1,2,37,1,73,0,1,1,,,,,
1,2,42,1,73,0,1,1,,,,,
1,2,109,1,73,0,1,1,,,,,
1,2,119,1,73,0,1,1,,,,,
1,2,122,1,73,0,1,1,,,,,
1,2,146,1,73,0,1,1,,,,,
1,2,27,1,73,0,1,1,,,,,
1,2,32,1,73,0,1,1,,,,,
1,2,102,1,73,0,1,1,,,,,
1,2,124,1,73,0,1,1,,,,,
1,2,129,1,73,0,1,1,,,,,
1,2,115,1,73,0,1,1,,,,,
1,2,117,1,73,0,1,1,,,,,
1,2,14,1,73,0,1,1,,,,,
1,4,50032,0,140,0,3,7,,,,,
1,4,50332,0,140,0,3,7,,,,,
1,4,50663,0,140,0,3,7,,,,,
1,4,50081,0,140,0,3,7,,,,,
1,4,50102,0,140,0,3,7,,,,,
1,4,50122,0,140,0,3,7,,,,,
1,4,50162,0,140,0,3,7,,,,,
1,4,50342,0,140,0,3,7,,,,,
1,4,50432,0,140,0,3,7,,,,,
1,4,50601,0,140,0,3,7,,,,,
1,4,50653,0,140,0,3,7,,,,,
1,4,51363,0,140,0,3,7,,,,,
1,4,50091,0,140,0,3,7,,,,,
1,4,50132,0,140,0,3,7,,,,,
1,4,50242,0,140,0,3,7,,,,,
1,4,50292,0,140,0,3,7,,,,,
1,4,50302,0,140,0,3,7,,,,,
1,4,50313,0,140,0,3,7,,,,,
1,4,50362,0,140,0,3,7,,,,,
1,4,50172,0,140,0,3,7,,,,,
1,4,50112,0,147,0,3,7,,,,,
1,4,50184,0,147,0,3,7,,,,,
1,4,50353,0,147,0,3,7,,,,,
1,4,50373,0,147,0,3,7,,,,,
1,4,50423,0,147,0,3,7,,,,,
1,4,51093,0,147,0,3,7,,,,,
1,4,51193,0,147,0,3,7,,,,,
1,4,51224,0,147,0,3,7,,,,,
1,4,51464,0,147,0,3,7,,,,,
1,4,50273,0,147,0,3,7,,,,,
1,4,50324,0,147,0,3,7,,,,,
1,4,51023,0,147,0,3,7,,,,,
1,4,51243,0,147,0,3,7,,,,,
1,4,51294,0,147,0,3,7,,,,,
1,4,51154,0,147,0,3,7,,,,,
1,4,51173,0,147,0,3,7,,,,,
1,4,50143,0,147,0,3,7,,,,,
1,4,51084,0,44,0,3,7,,,,,
1,4,51314,0,44,0,3,7,,,,,
1,4,51123,0,44,0,3,7,,,,,
1,4,51214,0,44,0,3,7,,,,,
1,4,51344,0,44,0,3,7,,,,,
1,4,51403,0,44,0,3,7,,,,,
1,4,51414,0,44,0,3,7,,,,,
1,4,51034,0,44,0,3,7,,,,,
1,4,51104,0,44,0,3,7,,,,,
1,4,51204,0,44,0,3,7,,,,,
1,4,51054,0,44,0,3,7,,,,,
1,4,51044,0,44,0,3,7,,,,,
1,4,51074,0,44,0,3,7,,,,,
1,4,51384,0,44,0,3,7,,,,,
2,2,3,1,187,0,1,1,,,,,
2,2,33,1,187,0,1,1,,,,,
2,2,66,1,187,0,1,1,,,,,
2,2,8,1,187,0,1,1,,,,,
2,2,10,1,187,0,1,1,,,,,
2,2,12,1,187,0,1,1,,,,,
2,2,16,1,187,0,1,1,,,,,
2,2,34,1,187,0,1,1,,,,,
2,2,43,1,187,0,1,1,,,,,
2,2,60,1,187,0,1,1,,,,,
2,2,65,1,187,0,1,1,,,,,
2,2,136,1,187,0,1,1,,,,,
2,2,9,1,187,0,1,1,,,,,
2,2,13,1,187,0,1,1,,,,,
2,2,24,1,187,0,1,1,,,,,
2,2,29,1,187,0,1,1,,,,,
2,2,30,1,187,0,1,1,,,,,
2,2,31,1,187,0,1,1,,,,,
2,2,36,1,187,0,1,1,,,,,
2,2,17,1,187,0,1,1,,,,,
2,2,11,1,58,0,1,1,,,,,
2,2,18,1,58,0,1,1,,,,,
2,2,35,1,58,0,1,1,,,,,
2,2,37,1,58,0,1,1,,,,,
2,2,42,1,58,0,1,1,,,,,
2,2,109,1,58,0,1,1,,,,,
2,2,119,1,58,0,1,1,,,,,
2,2,122,1,58,0,1,1,,,,,
2,2,146,1,58,0,1,1,,,,,
2,2,27,1,58,0,1,1,,,,,
2,2,32,1,58,0,1,1,,,,,
2,2,102,1,58,0,1,1,,,,,
