sign_id,vip_lv,vip_multiple,award_item
1,1,2,8:0:5000:0
2,0,1,11:0:50:0
3,2,2,4:51294:5:0
4,0,1,9:0:50:0
5,3,2,4:10600:10:0
6,0,1,4:20001:5:0
7,4,2,4:10350:5:0
8,5,2,8:0:10000:0
9,0,1,11:0:50:0
10,6,2,4:51294:5:0
11,0,1,9:0:50:0
12,6,2,9:0:100:0
13,0,1,4:10350:5:0
14,7,2,4:20301:5:0
15,8,2,9:0:15000:0
16,0,1,11:0:50:0
17,9,2,4:51294:5:0
18,0,1,9:0:100:0
19,10,2,4:20601:5:0
20,0,1,4:10600:20:0
21,11,2,4:10350:10:0
22,12,2,8:0:20000:0
23,0,1,11:0:50:0
24,13,2,4:51294:5:0
25,0,1,9:0:200:0
26,14,2,4:40001:5:0
27,0,1,4:10600:20:0
28,15,2,4:51294:20:0
