accountlv,bossspower
1,1
2,1.25
3,1.52
4,2.24
5,2.69
6,3.02
7,4.02
8,5.04
9,6.13
10,7.67
11,8.95
12,10.25
13,12.12
14,13.59
15,15.11
16,17.36
17,18.6
18,20.6
19,21.89
20,24.03
21,28.36
22,30.81
23,32.35
24,34.94
25,37.86
26,40.68
27,45.52
28,49.21
29,52.66
30,56.22
31,65.08
32,67.33
33,70.8
34,73.72
35,76.04
36,78.35
37,86.82
38,89.32
39,91.81
40,95.17
41,97.73
42,100.25
43,112.3
44,115.06
45,117.81
46,121.56
47,130
48,132.9
49,139.04
50,142.02
51,145
52,149.24
53,152.24
54,155.24
55,160.59
56,163.64
57,166.68
58,169.73
59,172.77
60,175.82
61,178.86
62,181.91
63,184.95
64,188
65,191.04
66,194.09
67,197.13
68,200.18
69,203.22
70,206.27
71,209.31
72,212.36
73,215.4
74,218.45
75,221.49
76,224.54
77,227.58
78,230.63
79,233.67
80,236.72
81,239.76
82,242.81
83,245.85
84,248.9
85,251.94
86,254.99
87,258.03
88,261.08
89,264.12
90,267.17
91,270.21
92,273.26
93,276.3
94,279.35
95,282.39
96,285.44
97,288.48
98,291.53
99,294.57
100,297.62
