#==================== 通用字符串 ====================#
common.value/max = {0}/{1}
common.value/max_lua = %s/%s
common.vip_short_name = VIP{0}
common.vip_short_name_lua = VIP%d
common.role_icon.role_lv = Lv{0}
common.role_icon.common_lv = Lv%d
common.percent = {0}%
common.attribute_add_by_equipment = (+{0})
common.strengthen_level = +{0}
common.x_count = ×{0}
common.x_count_lua = ×%s

common.tenThousand = {0:f1}万
common.million = {0}百万
common.ten_million = {0}千万
common.hundredMillion = {0:f1}亿
common.name_with_strengthen_level = {0}+{1}
common.green_text_template = <color=#00ff00>{0}</color>
common.red_text_template = <color=#ff0000>{0}</color>

common.green_text_template_lua = <color=#00ff00>%s</color>
common.red_text_template_lua = <color=#ff0000>%s</color>

common.vip_level_not_enough_tips = VIP等级不足，前往商店充值？

common.week_day.1 = 一
common.week_day.2 = 二
common.week_day.3 = 三
common.week_day.4 = 四
common.week_day.5 = 五
common.week_day.6 = 六
common.week_day.7 = 日
common.week__day.separator = ,

common.num.1 = 一
common.num.2 = 二
common.num.3 = 三
common.num.4 = 四
common.num.5 = 五
common.num.6 = 六
common.num.7 = 七
common.num.8 = 八
common.num.9 = 九
common.num.10 = 十
common.num.11 = 十一
common.num.12 = 十二
common.num.13 = 十三
common.num.14 = 十四
common.num.15 = 十五
common.num.16 = 十六
common.num.17 = 十七
common.num.18 = 十八
common.num.19 = 十九
common.num.20 = 二十

common.color_White = 白色
common.color_Green = 绿色
common.color_Blue = 蓝色
common.color_Purple = 紫色
common.color_Orange = 橙色
common.color_Red = 红色

common.quality.white = 白色
common.quality.green = 绿色
common.quality.blue = 蓝色
common.quality.purple = 紫色
common.quality.orange = 橙色
common.quality.red = 红色

common.quality.formt_string.white  = <color=#ffffff>%s</color>
common.quality.formt_string.green  = <color=#3fe71e>%s</color>
common.quality.formt_string.blue   = <color=#28b4fc>%s</color>
common.quality.formt_string.purple = <color=#c946ff>%s</color>
common.quality.formt_string.orange = <color=#ff6b23>%s</color>

common.quality.csharp_formt_string.white  = <color=#ffffff>{0}</color>
common.quality.csharp_formt_string.green  = <color=#3fe71e>{0}</color>
common.quality.csharp_formt_string.blue   = <color=#28b4fc>{0}</color>
common.quality.csharp_formt_string.purple = <color=#c946ff>{0}</color>
common.quality.csharp_formt_string.orange = <color=#ff6b23>{0}</color>

common.tips.hero_piece_compose_success = 合成成功，获得%s

common.equipment.attribute.base_attribute_title = 基础属性
common.equipment.attribute.random_attribute_title = 随机属性
#==================== 通用字符串 ====================#

#==================== 游戏内 ====================#
game.fight.miss = Miss
game.fight.block = Block
#==================== 游戏内 ====================#

#==================== 漫画界面 ====================#
ui.simle_introduction_view.skip = 点击跳过
#==================== 漫画界面 ====================#

#==================== 基础资源名称 ====================#
game.base_resource.account_exp = 账号经验
game.base_resource.arena_point = 竞技场点数
game.base_resource.crystal = 水晶
game.base_resource.diamond = 钻石
game.base_resource.gold = 金币
game.base_resource.hero_exp = 英雄经验
game.base_resource.honor = 荣誉
game.base_resource.pve_action = PVE钥匙
game.base_resource.pvp_action = PVP钥匙
game.base_resource.tower_action = 千层塔钥匙
#==================== 基础资源名称 ====================#

#==================== 每日副本 ====================#
sheet_activity.name.5 = 物防强化
sheet_activity.name.6 = 魔防强化
sheet_activity.name.7 = 限时伤害
sheet_activity.name.8 = 单体技能
sheet_activity.name.9 = 范围技能
sheet_activity.name.10 = 镜像副本
sheet_activity.name.11 = 浮空伤害
sheet_activity.name.12 = 职业Boss挑战



sheet_activity.description.5 = 物防强化副本
sheet_activity.description.6 = 魔防强化副本
sheet_activity.description.7 = 限时伤害副本
sheet_activity.description.8 = 单体技能
sheet_activity.description.9 = 范围技能
sheet_activity.description.10 = 镜像副本
sheet_activity.description.11 = 浮空伤害
sheet_activity.description.12 = 职业Boss挑战

#==================== 每日副本 ====================#




#==================== 公共部分 ====================#

public_success_percent=成功率
public_free=免费
public_refresh=刷新
public_verify=确认

#==================== 公共部分 ====================#




#==================== 装备tips ====================#

equip_tips_careerlimit=穿戴职业：
equip_tips_herolimit=穿戴英雄：

#==================== 装备tips ====================#

#==================== 确认执行新手教程界面 ====================#
ui.confirm_play_tutorial_view.des = 是否跳过新手教程?
ui.confirm_play_tutorial_view.sub_tips = <color=#ff0000>(不建议跳过新手教程)</color>
ui.confirm_play_tutorial_view.twice_tips = 如您执意跳过新手教程，可在玩家手册中查看使用说明。
ui.confirm_play_tutorial_view.skip = 跳过
ui.confirm_play_tutorial_view.play = 不跳过
#==================== 确认执行新手教程界面 ====================#

#==================== 新手教程界面 ====================#
ui.tutorial_view.skip = 跳过
#==================== 新手教程界面 ====================#



#==================== 探险界面 ====================#

explore_title=英雄探险
explore_team=探险队伍
explore_award=探险奖励
explore_time=探险时间:
explore_begin=开始\n探险
explore_working=正在\n探险
explore_pickup=领取\n奖励
explore_success=探险成功
explore_failed=探险失败
explore_tips=英雄的等级与星级越高，探险成功率越高
explore_title_child=选择派遣英雄
explore_remain_times=今日剩余探险次数:
explore_max_heros1=本次探险最多可派:
explore_max_heros2=名英雄
explore_cur_percent=成功率:
explore_invalid=剩余探险次数不足
explore_getaward=领取成功
explore_start=开启成功
explore_start=开启成功
explore_teamnotenough=此次探险需要%s名英雄
explore_refresh_diamond_not_enough_and_go_to_buy = 钻石不足，是否前往商店购买钻石？
explore_refresh_confirm_tip = 确定要刷新？

#==================== 探险界面 ====================#


#==================== 新功能提示文字 ====================#
newfunction_des.100 = 开启任务功能
newfunction_des.200 = 开启邮件功能
newfunction_des.300 = 开启好友功能
newfunction_des.400 = 开启签到功能
newfunction_des.500 = 开启活动功能
newfunction_des.600 = 开启排行榜功能
newfunction_des.700 = 开启主角功能
newfunction_des.800 = 开启培养功能
newfunction_des.900 = 开启阵形培养功能
newfunction_des.1000 = 开启装备培养功能
newfunction_des.1100 = 开启商店功能
newfunction_des.1200 = 开启黑市功能
newfunction_des.1300 = 开启图鉴功能
newfunction_des.1400 = 开启公会功能
newfunction_des.1500 = 开启探险功能
newfunction_des.1600 = 开启战斗中心
newfunction_des.1700 = 开启每日副本
newfunction_des.1900 = 开启世界BOSS功能
newfunction_des.2000 = 开启聊天功能
newfunction_des.2100 = 开启背包功能
newfunction_des.2200 = 开启BOSS列表
newfunction_des.2300 = 开启每日任务
newfunction_des.2400 = 开启合成功能
#==================== 新功能提示文字 ====================#


#==================== 功能开启名 ====================#

function_name.100 = 任务
function_name.200 = 邮件
function_name.300 = 好友
function_name.400 = 签到
function_name.500 = 活动
function_name.600 = 排行榜
function_name.700 = 主角
function_name.701 = 使魔选择
function_name.703 = 使魔强化
function_name.705 = 使魔培养
function_name.707 = 使魔突破
function_name.709 = 使魔穿戴
function_name.800 = 培养
function_name.801 = 英雄强化
function_name.803 = 升星功能
function_name.805 = 英雄突破
function_name.807 = 英雄分解
function_name.900 = 阵形
function_name.901 = 换阵
function_name.905 = 两队
function_name.906 = 三队
function_name.1000 = 装备
function_name.1001 = 装备培养
function_name.1004 = 装备重铸
function_name.1006 = 装备附魔
function_name.1008 = 装备升星
function_name.1010 = 宝石镶嵌
function_name.1012 = 装备进阶
function_name.1013 = 装备继承
function_name.1100 = 商店
function_name.1200 = 黑市
function_name.1202 = 竞技场黑市
function_name.1203 = 远征黑市
function_name.1204 = 世界BOSS黑市
function_name.1205 = 积分黑市
function_name.1300 = 图鉴
function_name.1400 = 公会
function_name.1500 = 探险
function_name.1600 = 战斗中心
function_name.1601 = 竞技场
function_name.1604 = 世界树
function_name.1606 = 远征
function_name.1608 = PVP积分赛
function_name.1610 = 矿战
function_name.1700 = 每日副本
function_name.1800 = 战役副本
function_name.1801 = 普通难度
function_name.1802 = 困难难度
function_name.1803 = 单次扫荡
function_name.1805 = 十次扫荡
function_name.1807 = 两倍速
function_name.1808 = 自动战斗
function_name.1809 = 战斗暂停
function_name.1900 = 世界BOSS
function_name.1902 = 世界BOSS鼓舞
function_name.2000 = 聊天
function_name.2100 = 背包
function_name.2200 = Boss副本
function_name.2300 = 每日任务
function_name.2400 = 合成功能
function_name.2500 = 点金手功能
function_name.2600 = 七日狂欢
function_name.2700 = 首充礼包
function_name.2800 = 转盘







#==================== 功能开启名 ====================#

#==================== 转盘界面 ====================#
ui.turntable_view.title = 幸运转盘
ui.turntable_view.rankBigTitle = 转盘排行榜
ui.turntable_view.rankTitle = 排名
ui.turntable_view.rank.playerTitle = 玩家
ui.turntable_view.rank.rewardTitle = 排名奖励
ui.turntable_view.drawTimes = 抽奖次数：%d
ui.turntable_view.openTime = 活动时间：%s-%s
ui.turntable_view.freeTimes = 今日免费次数：<color=#03B0F0>%d</color>
